dte_dateof,amt_price,houseno,houseunit,stdir,stname,sttype,stsuffix,heatedarea,yearbuilt,fullbaths,halfbaths,bedrooms,actype,vacantorim,totalac,siding,area,geometry
2011-05-18,274000,5232,NA,NA,CAMILLA,DR,NA,1884,1976,2,0,3,AC-CENTRAL,IMP,0,WOOD ON SHTG,03104,"list(list(c(444929.88443668, 444928.726194365, 444873.526803964, 444875.050807012, 444929.88443668, 154233.92304476, 154206.490989896, 154209.386595685, 154237.153931219, 154233.92304476)))"
2013-08-19,195000,1125,NA,NA,BOXELDER,LN,NA,2980,2001,2,1,4,AC-CENTRAL,IMP,0,"ALUM,VINYL",03107,"list(list(c(451373.506483926, 451357.885452684, 451356.971050855, 451337.235211383, 451355.294647502, 451373.506483926, 178114.19736531, 178104.178569271, 178103.587256089, 178150.413773741, 178158.509277929, 178114.19736531)))"
2019-07-02,522000,15727,NA,NA,DELANCEY,LN,NA,3338,1993,2,1,5,AC-CENTRAL,IMP,0,FACE BRICK,03106,"list(list(c(440669.019729199, 440638.047929202, 440613.968729201, 440610.274529202, 440654.278529198, 440657.164129198, 440660.611929201, 440664.5800292, 440669.019729199, 187965.140959402, 187925.119359402, 187940.456859405, 187962.859759403, 187983.833059404, 187978.575859405, 187973.669059403, 187969.172459404, 187965.140959402)))"
2016-06-08,349000,5320,NA,NA,WEDGEWOOD,DR,NA,2480,1955,2,0,3,AC-CENTRAL,IMP,0,FACE BRICK,03105,"list(list(c(440107.32919157, 440083.402153217, 440114.735655882, 440130.341447096, 440133.145803199, 440107.32919157, 158731.80468052, 158743.447873309, 158796.117609146, 158785.297187507, 158783.346273102, 158731.80468052)))"
2012-08-31,279000,1233,NA,NA,OLD FARM,RD,NA,2237,1963,2,1,3,AC-CENTRAL,IMP,0,WOOD ON SHTG,03104,"list(list(c(446769.752356416, 446759.38913569, 446717.44857181, 446729.366275644, 446738.449333809, 446780.511817934, 446769.752356416, 155843.910344733, 155836.595130103, 155889.660916236, 155899.048775012, 155906.089669093, 155851.499879913, 155843.910344733)))"
2017-05-12,117000,10205,NA,NA,ADAIRE,CR,NA,1134,1980,1,1,3,AC-CENTRAL,IMP,0,"ALUM,VINYL",03107,"list(list(c(457166.958329199, 457193.780829198, 457208.1978292, 457200.760529199, 457187.898129199, 457176.467929201, 457176.160455432, 457175.490175827, 457174.473510063, 457173.135363148, 457171.508515333, 457169.632819107, 457167.554222932, 457165.323645663, 457162.995729198, 457163.544629201, 457166.958329199, 161857.992159404, 161857.748259402, 161857.626159404, 161845.403659402, 161824.372659404, 161805.718859403, 161808.06816139, 161810.340711766, 161812.480840424, 161814.436121165, 161816.158655963, 
161817.606248316, 161818.743436906, 161819.542364311, 161819.983459403, 161858.022659405, 161857.992159404)))"
2022-03-11,390000,11824,NA,NA,LAUREL GROVE,LN,NA,1736,1978,2,0,3,AC-CENTRAL,IMP,0,"ALUM,VINYL",03104,"list(list(c(441560.6110292, 441534.805429202, 441553.150829201, 441581.253429198, 441560.6110292, 148537.079559402, 148547.595159405, 148597.428159402, 148587.735559403, 148537.079559402)))"
2015-07-31,379000,3715,NA,NA,RHODES,AV,NA,1760,1961,2,0,3,AC-CENTRAL,IMP,0,FACE BRICK,03104,"list(c(441749.838716588, 441749.442475797, 441746.851670615, 441738.957334825, 441707.13615118, 441706.160789233, 441705.246387404, 441704.331985576, 441703.783344475, 441703.448063806, 441702.564142036, 441701.771660453, 441701.070619053, 441700.826778566, 441700.43053777, 441699.942856796, 441699.516135941, 441699.241815395, 441697.565412042, 441697.382531673, 441693.511563935, 441717.926092763, 441739.932696777, 441749.838716588, 155688.949714809, 155642.040900994, 155642.22378136, 155642.376181664, 
155640.913138736, 155640.638818184, 155640.577858069, 155640.638818186, 155640.760738434, 155640.852178615, 155641.187459287, 155641.61418014, 155642.193301299, 155642.467621843, 155642.863862643, 155643.625864163, 155644.448825809, 155645.302267516, 155656.823730562, 155657.52477196, 155672.581922078, 155679.68377628, 155686.084589081, 155688.949714809))"
2018-06-29,143000,2306,NA,NA,BRIARGROVE,DR,NA,1445,1968,1,1,3,AC-NONE,IMP,0,FACE BRICK,03103,"list(list(c(450485.667929202, 450447.110729199, 450434.187129201, 450434.004229199, 450431.931629201, 450474.298929201, 450479.702529202, 450485.667929202, 166846.419759403, 166820.847059403, 166840.354259404, 166840.811459405, 166845.871159404, 166865.927059404, 166856.009659402, 166846.419759403)))"
2020-12-21,557500,901,NA,NA,ESSEX,ST,NA,1976,2008,2,1,3,AC-CENTRAL,IMP,0.218,HARDIPLANK,03101,"list(list(c(446501.497229199, 446501.765529203, 446442.162329202, 446438.8241292, 446498.525429201, 446501.497229199, 167490.621959404, 167489.402759406, 167475.454559405, 167489.573459402, 167503.5180594, 167490.621959404)))"
2022-02-28,340000,7122,NA,NA,FALCONWOOD,CT,NA,1658,1984,2,1,4,AC-CENTRAL,IMP,0,MASONITE,03101,"list(list(c(453596.219129199, 453562.142429199, 453557.7527292, 453553.997629199, 453550.895329201, 453589.5135292, 453590.641329199, 453596.219129199, 160609.132559402, 160586.882059405, 160595.859259399, 160605.119759403, 160614.618959403, 160625.317459402, 160617.971759402, 160609.132559402)))"
2010-07-22,193000,1927,NA,NA,ARBOR VISTA,DR,NA,2379,2005,2,1,4,AC-CENTRAL,IMP,0.179,"ALUM,VINYL",03107,"list(list(c(450042.405645723, 450023.087383087, 450007.085351084, 450026.403613719, 450042.405645723, 177619.868688651, 177585.444507804, 177594.41783775, 177628.860306633, 177619.868688651)))"
2014-06-20,520000,19648,NA,NA,WOODEN TEE,DR,NA,3140,2000,2,1,4,AC-CENTRAL,IMP,0.253,MASONITE,03106,"list(list(c(444965.113291138, 444964.198889309, 444963.321063555, 444962.446285804, 444961.720860355, 444961.07468306, 444960.654058221, 444960.388881689, 444957.188475289, 444995.364751641, 445000.735338384, 444965.988068889, 444965.113291138, 192889.065539042, 192888.989338891, 192889.10211512, 192889.446539805, 192889.961652837, 192890.626118166, 192891.427743768, 192892.360433634, 192913.638564192, 192928.116593147, 192905.600972116, 192889.352051616, 192889.065539042)))"
