cosponsor,sponsor,bill
"Rep. Pelosi, Nancy [D-CA]","Rep. Sarbanes, John P. [D-MD]",HR 1
"Rep. Lofgren, Zoe [D-CA]","Rep. Sarbanes, John P. [D-MD]",HR 1
"Rep. Lowenthal, Alan S. [D-CA]","Rep. Fitzpatrick, Brian K. [R-PA]",HR 100
"Rep. Carson, Andre [D-IN]","Rep. Maloney, Carolyn B. [D-NY]",HR 1004
"Rep. Carson, Andre [D-IN]","Rep. Maloney, Carolyn B. [D-NY]",HR 1005
"Rep. Carson, Andre [D-IN]","Rep. Maloney, Carolyn B. [D-NY]",HR 1006
"Rep. Carson, Andre [D-IN]","Rep. Maloney, Carolyn B. [D-NY]",HR 1007
"Rep. Carson, Andre [D-IN]","Rep. Maloney, Carolyn B. [D-NY]",HR 1008
"Rep. Clarke, Yvette D. [D-NY]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Green, Al [D-TX]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Schakowsky, Janice D. [D-IL]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Lee, Barbara [D-CA]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Espaillat, Adriano [D-NY]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Blunt Rochester, Lisa [D-DE]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Barragan, Nanette Diaz [D-CA]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Case, Ed [D-HI]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Lieu, Ted [D-CA]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Velazquez, Nydia M. [D-NY]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Grijalva, Raúl M. [D-AZ]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Gomez, Jimmy [D-CA]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Porter, Katie [D-CA]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Roybal-Allard, Lucille [D-CA]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Kilmer, Derek [D-WA]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Napolitano, Grace F. [D-CA]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Pressley, Ayanna [D-MA]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Castor, Kathy [D-FL]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Sánchez, Linda T. [D-CA]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Horsford, Steven [D-NV]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Eshoo, Anna G. [D-CA]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Hayes, Jahana [D-CT]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Price, David E. [D-NC]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Cárdenas, Tony [D-CA]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. McNerney, Jerry [D-CA]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Strickland, Marilyn [D-WA]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Lowenthal, Alan S. [D-CA]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Hastings, Alcee L. [D-FL]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Sires, Albio [D-NJ]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Garcia, Jesus G. ""Chuy"" [D-IL]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Carson, Andre [D-IN]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Jackson Lee, Sheila [D-TX]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Newman, Marie [D-IL]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Jayapal, Pramila [D-WA]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Boyle, Brendan F. [D-PA]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Torres, Ritchie [D-NY]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Johnson, Eddie Bernice [D-TX]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Higgins, Brian [D-NY]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Evans, Dwight [D-PA]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Meeks, Gregory W. [D-NY]","Rep. Meng, Grace [D-NY]",HR 1009
"Rep. Gallagher, Mike [R-WI]","Rep. Fitzpatrick, Brian K. [R-PA]",HR 101
"Rep. Burchett, Tim [R-TN]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Budd, Ted [R-NC]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Weber, Randy K., Sr. [R-TX]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Duncan, Jeff [R-SC]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Gallagher, Mike [R-WI]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Waltz, Michael [R-FL]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Jordan, Jim [R-OH]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Aderholt, Robert B. [R-AL]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. McKinley, David B. [R-WV]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Guest, Michael [R-MS]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Cloud, Michael [R-TX]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. LaMalfa, Doug [R-CA]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Miller, Carol D. [R-WV]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Reschenthaler, Guy [R-PA]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Gibbs, Bob [R-OH]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Joyce, John [R-PA]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Burgess, Michael C. [R-TX]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Brooks, Mo [R-AL]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Lamborn, Doug [R-CO]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Norman, Ralph [R-SC]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Banks, Jim [R-IN]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Huizenga, Bill [R-MI]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Allen, Rick W. [R-GA]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Kelly, Trent [R-MS]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Sessions, Pete [R-TX]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Carl, Jerry L. [R-AL]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Mann, Tracey [R-KS]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Davidson, Warren [R-OH]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Gohmert, Louie [R-TX]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Johnson, Dusty [R-SD]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Feenstra, Randy [R-IA]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Grothman, Glenn [R-WI]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Hollingsworth, Trey [R-IN]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Williams, Roger [R-TX]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Lesko, Debbie [R-AZ]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Luetkemeyer, Blaine [R-MO]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Biggs, Andy [R-AZ]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Bucshon, Larry [R-IN]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Steube, W. Gregory [R-FL]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Rose, John W. [R-TN]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Graves, Sam [R-MO]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Higgins, Clay [R-LA]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Greene, Marjorie Taylor [R-GA]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Rogers, Mike D. [R-AL]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. LaHood, Darin [R-IL]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Long, Billy [R-MO]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Wittman, Robert J. [R-VA]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Murphy, Gregory [R-NC]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Good, Bob [R-VA]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Bacon, Don [R-NE]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Roy, Chip [R-TX]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Moore, Barry [R-AL]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. McMorris Rodgers, Cathy [R-WA]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Timmons, William R. IV [R-SC]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Balderson, Troy [R-OH]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Babin, Brian [R-TX]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Smith, Jason [R-MO]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Harris, Andy [R-MD]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Hice, Jody B. [R-GA]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Kustoff, David [R-TN]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Rosendale Sr., Matthew M. [R-MT]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Hagedorn, Jim [R-MN]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Wenstrup, Brad R. [R-OH]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Bishop, Dan [R-NC]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Fulcher, Russ [R-ID]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Herrell, Yvette [R-NM]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Latta, Robert E. [R-OH]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Massie, Thomas [R-KY]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Loudermilk, Barry [R-GA]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Miller, Mary E. [R-IL]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Cheney, Liz [R-WY]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Rogers, Harold [R-KY]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Hartzler, Vicky [R-MO]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Newhouse, Dan [R-WA]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Guthrie, Brett [R-KY]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Smith, Adrian [R-NE]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Johnson, Mike [R-LA]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Dunn, Neal P. [R-FL]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Armstrong, Kelly [R-ND]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Boebert, Lauren [R-CO]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Womack, Steve [R-AR]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Emmer, Tom [R-MN]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Fortenberry, Jeff [R-NE]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Perry, Scott [R-PA]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Baird, James R. [R-IN]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Keller, Fred [R-PA]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Palazzo, Steven M. [R-MS]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Gooden, Lance [R-TX]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Chabot, Steve [R-OH]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Gosar, Paul A. [R-AZ]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. Johnson, Bill [R-OH]","Rep. Mooney, Alexander X. [R-WV]",HR 1011
"Rep. LaTurner, Jake [R-KS]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Ruppersberger, C. A. Dutch [D-MD]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Grijalva, Raúl M. [D-AZ]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Lee, Barbara [D-CA]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Roybal-Allard, Lucille [D-CA]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Barragan, Nanette Diaz [D-CA]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Bishop, Sanford D., Jr. [D-GA]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Veasey, Marc A. [D-TX]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Axne, Cynthia [D-IA]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Jayapal, Pramila [D-WA]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Fitzpatrick, Brian K. [R-PA]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Beatty, Joyce [D-OH]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Trone, David J. [D-MD]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Lieu, Ted [D-CA]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Pocan, Mark [D-WI]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Cohen, Steve [D-TN]","Rep. Moore, Gwen [D-WI]",HR 1012
"Del. Sablan, Gregorio Kilili Camacho [D-MP]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Neguse, Joe [D-CO]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Cole, Tom [R-OK]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Evans, Dwight [D-PA]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Raskin, Jamie [D-MD]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Higgins, Brian [D-NY]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Kelly, Robin L. [D-IL]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Lawson, Al, Jr. [D-FL]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Bustos, Cheri [D-IL]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Wasserman Schultz, Debbie [D-FL]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Khanna, Ro [D-CA]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Carson, Andre [D-IN]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Clarke, Yvette D. [D-NY]","Rep. Moore, Gwen [D-WI]",HR 1012
"Del. Norton, Eleanor Holmes [D-DC]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Smith, Adam [D-WA]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Cooper, Jim [D-TN]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Johnson, Henry C. ""Hank,"" Jr. [D-GA]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Beyer, Donald S., Jr. [D-VA]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Langevin, James R. [D-RI]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Costa, Jim [D-CA]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Pascrell, Bill, Jr. [D-NJ]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Wild, Susan [D-PA]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Norcross, Donald [D-NJ]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Panetta, Jimmy [D-CA]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Boyle, Brendan F. [D-PA]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Bass, Karen [D-CA]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Kind, Ron [D-WI]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Gonzalez, Vicente [D-TX]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Kirkpatrick, Ann [D-AZ]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Kaptur, Marcy [D-OH]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Tonko, Paul [D-NY]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Demings, Val Butler [D-FL]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Brownley, Julia [D-CA]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Welch, Peter [D-VT]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Stanton, Greg [D-AZ]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Jones, Mondaire [D-NY]","Rep. Moore, Gwen [D-WI]",HR 1012
"Rep. Young, Don [R-AK]","Rep. Murphy, Gregory [R-NC]",HR 1013
"Rep. Grijalva, Raúl M. [D-AZ]","Rep. Napolitano, Grace F. [D-CA]",HR 1015
"Rep. Huffman, Jared [D-CA]","Rep. Napolitano, Grace F. [D-CA]",HR 1015
"Rep. Carbajal, Salud O. [D-CA]","Rep. Napolitano, Grace F. [D-CA]",HR 1015
"Rep. Sánchez, Linda T. [D-CA]","Rep. Napolitano, Grace F. [D-CA]",HR 1015
"Rep. Eshoo, Anna G. [D-CA]","Rep. Napolitano, Grace F. [D-CA]",HR 1015
"Rep. Titus, Dina [D-NV]","Rep. Napolitano, Grace F. [D-CA]",HR 1015
"Rep. Levin, Mike [D-CA]","Rep. Napolitano, Grace F. [D-CA]",HR 1015
"Rep. Takano, Mark [D-CA]","Rep. Napolitano, Grace F. [D-CA]",HR 1015
"Rep. Barragan, Nanette Diaz [D-CA]","Rep. Napolitano, Grace F. [D-CA]",HR 1015
"Rep. Brownley, Julia [D-CA]","Rep. Napolitano, Grace F. [D-CA]",HR 1015
"Rep. Sherman, Brad [D-CA]","Rep. Napolitano, Grace F. [D-CA]",HR 1015
"Rep. Vela, Filemon [D-TX]","Rep. Napolitano, Grace F. [D-CA]",HR 1015
"Rep. Chu, Judy [D-CA]","Rep. Napolitano, Grace F. [D-CA]",HR 1015
"Rep. Joyce, David P. [R-OH]","Rep. Neguse, Joe [D-CO]",HR 1016
"Rep. Cohen, Steve [D-TN]","Rep. Neguse, Joe [D-CO]",HR 1016
"Rep. Wenstrup, Brad R. [R-OH]","Rep. Panetta, Jimmy [D-CA]",HR 1018
"Rep. Blumenauer, Earl [D-OR]","Rep. Panetta, Jimmy [D-CA]",HR 1019
"Rep. Thompson, Mike [D-CA]","Rep. Panetta, Jimmy [D-CA]",HR 1019
"Rep. Tiffany, Thomas P. [R-WI]","Rep. Roy, Chip [R-TX]",HR 1021
"Rep. Duncan, Jeff [R-SC]","Rep. Roy, Chip [R-TX]",HR 1021
"Rep. Babin, Brian [R-TX]","Rep. Roy, Chip [R-TX]",HR 1021
"Rep. Weber, Randy K., Sr. [R-TX]","Rep. Roy, Chip [R-TX]",HR 1021
"Rep. Loudermilk, Barry [R-GA]","Rep. Roy, Chip [R-TX]",HR 1021
"Rep. Wilson, Joe [R-SC]","Rep. Roy, Chip [R-TX]",HR 1021
"Rep. Moore, Barry [R-AL]","Rep. Roy, Chip [R-TX]",HR 1021
"Rep. Steube, W. Gregory [R-FL]","Rep. Roy, Chip [R-TX]",HR 1021
"Rep. Biggs, Andy [R-AZ]","Rep. Roy, Chip [R-TX]",HR 1021
"Rep. Greene, Marjorie Taylor [R-GA]","Rep. Roy, Chip [R-TX]",HR 1021
"Rep. Jackson, Ronny [R-TX]","Rep. Roy, Chip [R-TX]",HR 1021
"Rep. Williams, Roger [R-TX]","Rep. Roy, Chip [R-TX]",HR 1021
"Rep. Rouzer, David [R-NC]","Rep. Roy, Chip [R-TX]",HR 1021
"Rep. Perry, Scott [R-PA]","Rep. Roy, Chip [R-TX]",HR 1021
"Rep. McClintock, Tom [R-CA]","Rep. Roy, Chip [R-TX]",HR 1021
"Rep. Bishop, Dan [R-NC]","Rep. Roy, Chip [R-TX]",HR 1021
"Rep. Budd, Ted [R-NC]","Rep. Roy, Chip [R-TX]",HR 1021
"Rep. Waltz, Michael [R-FL]","Rep. Rutherford, John H. [R-FL]",HR 1022
"Rep. Lawson, Al, Jr. [D-FL]","Rep. Rutherford, John H. [R-FL]",HR 1022
"Rep. Pappas, Chris [D-NH]","Rep. Rutherford, John H. [R-FL]",HR 1022
"Rep. Stivers, Steve [R-OH]","Rep. Rutherford, John H. [R-FL]",HR 1022
"Rep. Nadler, Jerrold [D-NY]","Rep. Scanlon, Mary Gay [D-PA]",HR 1023
"Rep. Cicilline, David N. [D-RI]","Rep. Scanlon, Mary Gay [D-PA]",HR 1023
"Rep. Demings, Val Butler [D-FL]","Rep. Scanlon, Mary Gay [D-PA]",HR 1023
"Rep. Raskin, Jamie [D-MD]","Rep. Scanlon, Mary Gay [D-PA]",HR 1023
"Rep. Carson, Andre [D-IN]","Rep. Scanlon, Mary Gay [D-PA]",HR 1023
"Rep. Lee, Barbara [D-CA]","Rep. Scanlon, Mary Gay [D-PA]",HR 1023
"Rep. Aguilar, Pete [D-CA]","Rep. Scanlon, Mary Gay [D-PA]",HR 1023
"Rep. Evans, Dwight [D-PA]","Rep. Scanlon, Mary Gay [D-PA]",HR 1023
"Rep. Brownley, Julia [D-CA]","Rep. Scanlon, Mary Gay [D-PA]",HR 1023
"Rep. Johnson, Henry C. ""Hank,"" Jr. [D-GA]","Rep. Scanlon, Mary Gay [D-PA]",HR 1023
"Rep. Jayapal, Pramila [D-WA]","Rep. Scanlon, Mary Gay [D-PA]",HR 1023
"Rep. Johnson, Dusty [R-SD]","Rep. Schneider, Bradley Scott [D-IL]",HR 1024
"Rep. Castor, Kathy [D-FL]","Rep. Schrier, Kim [D-WA]",HR 1025
"Rep. Fitzpatrick, Brian K. [R-PA]","Rep. Schrier, Kim [D-WA]",HR 1025
"Rep. Cloud, Michael [R-TX]","Rep. Steube, W. Gregory [R-FL]",HR 1027
"Rep. Mullin, Markwayne [R-OK]","Rep. Steube, W. Gregory [R-FL]",HR 1027
"Rep. Waltz, Michael [R-FL]","Rep. Steube, W. Gregory [R-FL]",HR 1028
"Rep. Gohmert, Louie [R-TX]","Rep. Steube, W. Gregory [R-FL]",HR 1028
"Rep. Gaetz, Matt [R-FL]","Rep. Steube, W. Gregory [R-FL]",HR 1028
"Rep. Kind, Ron [D-WI]","Rep. Steube, W. Gregory [R-FL]",HR 1029
"Rep. Salazar, Maria Elvira [R-FL]","Rep. Steube, W. Gregory [R-FL]",HR 1029
"Rep. Baird, James R. [R-IN]","Rep. Steube, W. Gregory [R-FL]",HR 1029
"Rep. Slotkin, Elissa [D-MI]","Rep. Steube, W. Gregory [R-FL]",HR 1029
"Rep. Langevin, James R. [D-RI]","Rep. Steube, W. Gregory [R-FL]",HR 1029
"Rep. Weber, Randy K., Sr. [R-TX]","Rep. Steube, W. Gregory [R-FL]",HR 1029
"Rep. Joyce, David P. [R-OH]","Rep. Steube, W. Gregory [R-FL]",HR 1029
"Rep. Norman, Ralph [R-SC]","Rep. Steube, W. Gregory [R-FL]",HR 1029
"Rep. Hice, Jody B. [R-GA]","Rep. Steube, W. Gregory [R-FL]",HR 1029
"Rep. Hinson, Ashley [R-IA]","Rep. Steube, W. Gregory [R-FL]",HR 1029
"Rep. Good, Bob [R-VA]","Rep. Steube, W. Gregory [R-FL]",HR 1029
"Rep. Stewart, Chris [R-UT]","Rep. Steube, W. Gregory [R-FL]",HR 1029
"Rep. Waltz, Michael [R-FL]","Rep. Steube, W. Gregory [R-FL]",HR 1029
"Rep. Meuser, Daniel [R-PA]","Rep. Steube, W. Gregory [R-FL]",HR 1029
"Rep. Cammack, Kat [R-FL]","Rep. Steube, W. Gregory [R-FL]",HR 1029
"Rep. McClintock, Tom [R-CA]","Rep. Steube, W. Gregory [R-FL]",HR 1029
"Rep. Cooper, Jim [D-TN]","Rep. Fleischmann, Charles J. ""Chuck"" [R-TN]",HR 103
"Rep. Jayapal, Pramila [D-WA]","Rep. Tlaib, Rashida [D-MI]",HR 1030
"Rep. Garcia, Jesus G. ""Chuy"" [D-IL]","Rep. Tlaib, Rashida [D-MI]",HR 1030
"Del. Norton, Eleanor Holmes [D-DC]","Rep. Tlaib, Rashida [D-MI]",HR 1030
"Rep. Ocasio-Cortez, Alexandria [D-NY]","Rep. Tlaib, Rashida [D-MI]",HR 1030
"Rep. Omar, Ilhan [D-MN]","Rep. Tlaib, Rashida [D-MI]",HR 1030
"Rep. Pressley, Ayanna [D-MA]","Rep. Tlaib, Rashida [D-MI]",HR 1030
"Rep. Bush, Cori [D-MO]","Rep. Tlaib, Rashida [D-MI]",HR 1030
"Rep. Vargas, Juan [D-CA]","Rep. Torres, Norma J. [D-CA]",HR 1031
"Rep. Meng, Grace [D-NY]","Rep. Torres, Norma J. [D-CA]",HR 1031
"Rep. Blumenauer, Earl [D-OR]","Rep. Torres, Norma J. [D-CA]",HR 1031
"Rep. Johnson, Henry C. ""Hank,"" Jr. [D-GA]","Rep. Torres, Norma J. [D-CA]",HR 1031
"Rep. Carson, Andre [D-IN]","Rep. Torres, Norma J. [D-CA]",HR 1031
"Rep. Cooper, Jim [D-TN]","Rep. Torres, Norma J. [D-CA]",HR 1031
"Del. Norton, Eleanor Holmes [D-DC]","Rep. Torres, Norma J. [D-CA]",HR 1031
"Rep. Takano, Mark [D-CA]","Rep. Torres, Norma J. [D-CA]",HR 1031
"Rep. Cárdenas, Tony [D-CA]","Rep. Torres, Norma J. [D-CA]",HR 1031
"Rep. Garcia, Sylvia R. [D-TX]","Rep. Torres, Norma J. [D-CA]",HR 1031
"Rep. Case, Ed [D-HI]","Rep. Torres, Norma J. [D-CA]",HR 1031
"Rep. Garcia, Jesus G. ""Chuy"" [D-IL]","Rep. Torres, Norma J. [D-CA]",HR 1031
"Rep. Jayapal, Pramila [D-WA]","Rep. Torres, Norma J. [D-CA]",HR 1031
"Rep. Espaillat, Adriano [D-NY]","Rep. Torres, Norma J. [D-CA]",HR 1031
"Rep. Clarke, Yvette D. [D-NY]","Rep. Walberg, Tim [R-MI]",HR 1032
"Rep. Norman, Ralph [R-SC]","Rep. Welch, Peter [D-VT]",HR 1033
"Rep. Joyce, David P. [R-OH]","Rep. Wexton, Jennifer [D-VA]",HR 1034
