survey_date,state_fips,county_fips,census_region,census_division,county_name,buildings_1unit,units_1unit,value_1unit,buildings_2unit,units_2unit,value_2unit,buildings_3or4unit,units_3or4unit,value_3or4unit,buildings_5plusunit,units_5plusunit,X30,total_buildings
202001,06,075,4,9,San Francisco County,1,1,277935,1,2,587000,1,3,1274323,4,485,232544221,7
202001,06,081,4,9,San Mateo County,26,26,18306863,0,0,0,0,0,0,3,24,0,29
202001,06,085,4,9,Santa Clara County,111,111,45154478,0,0,0,0,0,0,3,99,9798090,114
202001,06,091,4,9,Sierra County,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,06,113,4,9,Yolo County,72,72,22805221,0,0,0,0,0,0,0,0,0,72
202001,08,001,4,8,Adams County,147,147,44611397,0,0,0,0,0,0,0,0,0,147
202001,08,005,4,8,Arapahoe County,210,210,43177017,0,0,0,1,3,360172,11,311,44410930,222
202001,08,014,4,8,Broomfield County,22,22,8595255,3,6,1438878,0,0,0,0,0,0,25
202001,08,015,4,8,Chaffee County,11,11,2408693,0,0,0,0,0,0,0,0,0,11
202001,08,019,4,8,Clear Creek County,2,2,519117,0,0,0,0,0,0,1,5,0,3
202001,08,031,4,8,Denver County,198,198,51763285,3,6,1248197,0,0,0,8,441,0,209
202001,08,035,4,8,Douglas County,203,203,61943730,0,0,0,1,3,538524,0,0,0,204
202001,08,039,4,8,Elbert County,6,6,2235771,0,0,0,0,0,0,0,0,0,6
202001,08,041,4,8,El Paso County,357,357,139937484,0,0,0,0,0,0,2,193,26942638,359
202001,08,047,4,8,Gilpin County,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,08,059,4,8,Jefferson County,68,68,19511707,0,0,0,0,0,0,0,0,0,68
202001,08,069,4,8,Larimer County,199,199,54852831,1,2,592500,0,0,0,2,12,2844634,202
202001,08,077,4,8,Mesa County,35,35,9899222,0,0,0,0,0,0,0,0,0,35
202001,08,093,4,8,Park County,7,7,1624524,0,0,0,0,0,0,0,0,0,7
202001,08,101,4,8,Pueblo County,56,56,8544653,0,0,0,0,0,0,0,0,0,56
202001,08,119,4,8,Teller County,5,5,1735043,0,0,0,0,0,0,0,0,0,5
202001,09,001,1,1,Fairfield County,47,47,18889741,1,2,800000,0,0,0,0,0,0,48
202001,09,003,1,1,Hartford County,33,33,6115371,0,0,0,0,0,0,3,41,1642000,36
202001,09,007,1,1,Middlesex County,10,10,2635607,0,0,0,0,0,0,0,0,0,10
202001,09,013,1,1,Tolland County,10,10,2092755,0,0,0,0,0,0,2,20,0,12
202001,10,001,3,5,Kent County,102,102,14151982,3,6,643674,0,0,0,0,0,0,105
202001,10,003,3,5,New Castle County,74,74,8593306,0,0,0,0,0,0,0,0,0,74
202001,10,005,3,5,Sussex County,311,311,44520485,13,26,3642095,0,0,0,3,19,3310915,327
202001,11,001,3,5,Washington  DC,5,5,1187284,6,12,1342094,0,0,0,4,665,74642925,15
202001,12,003,3,5,Baker County,8,8,1069593,0,0,0,0,0,0,0,0,0,8
202001,12,019,3,5,Clay County,83,83,17731168,0,0,0,0,0,0,0,0,0,83
202001,12,029,3,5,Dixie County,3,3,378970,0,0,0,0,0,0,0,0,0,3
202001,12,031,3,5,Duval County,445,445,107877779,0,0,0,0,0,0,0,0,0,445
202001,12,033,3,5,Escambia County,159,159,37755616,2,4,220000,0,0,0,1,14,1571430,162
202001,12,053,3,5,Hernando County,121,121,20759825,0,0,0,3,12,1095000,0,0,0,124
202001,12,057,3,5,Hillsborough County,758,758,259930173,3,6,1200000,0,0,0,0,0,0,761
202001,12,067,3,5,Lafayette County,25,25,488500,0,0,0,0,0,0,0,0,0,25
202001,12,071,3,5,Lee County,582,582,121800781,20,40,4813130,4,16,5140954,31,1018,128317309,637
202001,12,073,3,5,Leon County,62,62,12183505,1,2,221600,0,0,0,4,100,0,67
202001,12,081,3,5,Manatee County,273,273,55104379,6,12,1275950,0,0,0,2,38,2356816,281
202001,12,086,3,5,Miami-Dade County,130,130,33739362,11,22,4703510,0,0,0,14,625,93736500,155
202001,12,089,3,5,Nassau County,98,98,27731429,0,0,0,0,0,0,1,20,0,99
202001,12,091,3,5,Okaloosa County,89,89,26759383,0,0,0,0,0,0,0,0,0,89
202001,12,095,3,5,Orange County,302,302,94086540,8,16,3355527,0,0,0,13,906,133116087,323
202001,12,097,3,5,Osceola County,430,430,81733320,0,0,0,2,8,710316,3,445,41253028,435
202001,12,101,3,5,Pasco County,487,487,102134851,0,0,0,0,0,0,0,0,0,487
202001,12,103,3,5,Pinellas County,82,82,22838710,0,0,0,0,0,0,0,0,0,82
202001,12,109,3,5,St. Johns County,350,350,83626589,0,0,0,0,0,0,0,0,0,350
202001,12,113,3,5,Santa Rosa County,168,168,30129655,0,0,0,0,0,0,0,0,0,168
202001,12,115,3,5,Sarasota County,370,370,102064195,3,6,1687750,2,8,1922318,3,43,2413079,378
202001,12,117,3,5,Seminole County,67,67,21729408,0,0,0,0,0,0,0,0,0,67
202001,12,119,3,5,Sumter County,265,265,71778129,0,0,0,0,0,0,0,0,0,265
202001,12,129,3,5,Wakulla County,31,31,5487760,0,0,0,0,0,0,0,0,0,31
202001,12,131,3,5,Walton County,128,128,63430718,0,0,0,0,0,0,4,32,4690504,132
202001,12,133,3,5,Washington County,4,4,512616,0,0,0,0,0,0,0,0,0,4
202001,13,007,3,5,Baker County,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,13,013,3,5,Barrow County,59,59,8794955,0,0,0,0,0,0,0,0,0,59
202001,13,015,3,5,Bartow County,65,65,12356023,0,0,0,0,0,0,0,0,0,65
202001,13,021,3,5,Bibb County,13,13,2228062,0,0,0,0,0,0,0,0,0,13
202001,13,029,3,5,Bryan County,37,37,8153609,0,0,0,0,0,0,0,0,0,37
202001,13,033,3,5,Burke County,4,4,911000,0,0,0,0,0,0,0,0,0,4
202001,13,035,3,5,Butts County,14,14,4123000,0,0,0,0,0,0,0,0,0,14
202001,13,045,3,5,Carroll County,85,85,19460765,0,0,0,0,0,0,0,0,0,85
202001,13,051,3,5,Chatham County,79,79,21436941,0,0,0,0,0,0,0,0,0,79
202001,13,057,3,5,Cherokee County,172,172,46437251,0,0,0,0,0,0,0,0,0,172
202001,13,059,3,5,Clarke County,21,21,4324457,0,0,0,0,0,0,0,0,0,21
202001,13,063,3,5,Clayton County,51,51,11840348,0,0,0,0,0,0,0,0,0,51
202001,13,067,3,5,Cobb County,107,107,32928228,5,10,2042971,4,15,2435774,8,257,29654046,124
202001,13,073,3,5,Columbia County,102,102,20183654,0,0,0,1,4,360000,0,0,0,103
202001,13,077,3,5,Coweta County,85,85,28877510,0,0,0,0,0,0,2,41,0,87
202001,13,085,3,5,Dawson County,27,27,6168527,0,0,0,0,0,0,0,0,0,27
202001,13,095,3,5,Dougherty County,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,13,097,3,5,Douglas County,56,56,8713598,0,0,0,0,0,0,0,0,0,56
202001,13,111,3,5,Fannin County,27,27,5263955,0,0,0,0,0,0,1,5,0,28
202001,13,113,3,5,Fayette County,20,20,7336935,0,0,0,0,0,0,0,0,0,20
202001,13,115,3,5,Floyd County,8,8,1987873,0,0,0,0,0,0,0,0,0,8
202001,13,117,3,5,Forsyth County,158,158,26655753,0,0,0,0,0,0,0,0,0,158
