Garage entries-exits by garage,,,,,
Facility Name,Union Square Garage,Off Street Parking ID,950,Parking Management District,Downtown
Usage Type,Date,Total Entries,Total Exits,,
,12/11/2012,"2,745","2,694",,
,12/12/2012,"2,845","2,820",,
,12/13/2012,"3,068","3,016",,
,12/14/2012,"2,857","2,740",,
,12/15/2012,"2,268","2,229",,
,12/16/2012,"2,292","2,370",,
,12/17/2012,"2,796","2,827",,
,12/18/2012,"3,095","3,065",,
,12/19/2012,"3,289","3,266",,
,12/20/2012,"3,303","3,249",,
,12/21/2012,"3,304","3,194",,
,12/22/2012,"2,732","2,615",,
,12/23/2012,"2,761","2,914",,
,12/24/2012,"3,230","3,209",,
,12/25/2012,629,642,,
,12/26/2012,"3,080","3,009",,
,12/27/2012,"2,949","2,870",,
,12/28/2012,"2,439","2,462",,
,12/29/2012,"2,493","2,391",,
,12/30/2012,"2,390","2,447",,
,12/31/2012,"2,474","2,134",,
,1/1/2013,"2,026","2,319",,
,1/2/2013,"2,369","2,360",,
,1/3/2013,"2,582","2,549",,
,1/4/2013,"2,708","2,646",,
,1/5/2013,"2,693","2,641",,
,1/6/2013,"1,994","2,070",,
,1/7/2013,"2,101","2,080",,
,1/8/2013,"2,253","2,213",,
,1/9/2013,"2,240","2,216",,
,1/10/2013,"2,399","2,364",,
,1/11/2013,"2,513","2,437",,
,1/12/2013,"2,728","2,664",,
,1/13/2013,"1,796","1,914",,
,1/14/2013,"1,586","1,571",,
,1/15/2013,"1,760","1,745",,
,1/16/2013,"1,952","1,924",,
,1/17/2013,"2,110","2,073",,
,1/18/2013,"2,357","2,296",,
,1/19/2013,"2,709","2,613",,
,1/20/2013,"1,708","1,824",,
,1/21/2013,"2,101","2,087",,
,1/22/2013,"1,834","1,808",,
,1/23/2013,"1,901","1,892",,
,1/24/2013,"2,241","2,202",,
,1/25/2013,"2,248","2,177",,
,1/26/2013,"2,672","2,534",,
,1/27/2013,"1,702","1,883",,
,1/28/2013,"1,314","1,309",,
,1/29/2013,"1,754","1,729",,
,1/30/2013,"2,056","2,037",,
,1/31/2013,"2,082","2,046",,
,2/1/2013,"2,226","2,156",,
,2/2/2013,"2,774","2,636",,
,2/3/2013,"1,009","1,174",,
,2/4/2013,"1,462","1,457",,
,2/5/2013,"1,802","1,779",,
,2/6/2013,"1,977","1,956",,
,2/7/2013,"2,161","2,124",,
,2/8/2013,"2,352","2,262",,
,2/9/2013,"2,546","2,481",,
,2/10/2013,"1,845","1,977",,
,2/11/2013,"1,676","1,659",,
,2/12/2013,"2,069","2,037",,
,2/13/2013,"2,244","2,179",,
,2/14/2013,"2,829","2,732",,
,2/15/2013,"2,541","2,522",,
,2/16/2013,"2,511","2,402",,
,2/17/2013,"1,973","2,086",,
,2/18/2013,"2,222","2,231",,
,2/19/2013,"1,604","1,584",,
,2/20/2013,"1,811","1,801",,
,2/21/2013,"2,103","2,053",,
,2/22/2013,"2,111","2,041",,
,2/23/2013,"1,762","1,696",,
,2/24/2013,"1,564","1,680",,
,2/25/2013,"1,520","1,496",,
,2/26/2013,"1,942","1,910",,
,2/27/2013,"2,051","2,029",,
,2/28/2013,"2,214","2,087",,
,3/1/2013,"2,274","2,188",,
,3/2/2013,"2,287","2,227",,
,3/3/2013,"1,675","1,809",,
,3/4/2013,"1,485","1,467",,
,3/5/2013,"1,795","1,769",,
,3/6/2013,"1,963","1,941",,
,3/7/2013,"2,252","2,213",,
,3/8/2013,"2,444","2,378",,
,3/9/2013,"2,868","2,792",,
,3/10/2013,"1,862","1,986",,
,3/11/2013,"1,515","1,499",,
,3/12/2013,"1,845","1,824",,
,3/13/2013,"2,109","2,097",,
,3/14/2013,"2,356","2,324",,
,3/15/2013,"2,555","2,461",,
,3/16/2013,"2,716","2,639",,
,3/17/2013,"1,791","1,912",,
,3/18/2013,"1,615","1,595",,
,3/19/2013,"1,961","1,920",,
,3/20/2013,"2,192","2,187",,
,3/21/2013,"2,286","2,234",,
,3/22/2013,"2,593","2,506",,
,3/23/2013,"2,586","2,488",,
,3/24/2013,"1,891","2,050",,
,3/25/2013,"1,932","1,896",,
,3/26/2013,"2,282","2,249",,
,3/27/2013,"2,489","2,355",,
,3/28/2013,"2,538","2,504",,
,3/29/2013,"2,727","2,581",,
,3/30/2013,"2,685","2,641",,
,3/31/2013,"1,181","1,320",,
,4/1/2013,"1,925","1,886",,
,4/2/2013,"2,116","2,092",,
,4/3/2013,"2,296","2,267",,
,4/4/2013,"2,401","2,342",,
,4/5/2013,"2,537","2,464",,
,4/6/2013,"2,624","2,516",,
,4/7/2013,"1,877","2,027",,
,4/8/2013,"1,623","1,616",,
,4/9/2013,"2,000","1,978",,
,4/10/2013,"2,188","2,173",,
,4/11/2013,"2,305","2,250",,
,4/12/2013,"2,624","2,493",,
,4/13/2013,"2,653","2,603",,
,4/14/2013,"1,889","2,018",,
,4/15/2013,"1,555","1,539",,
,4/16/2013,"1,880","1,859",,
,4/17/2013,"2,154","2,130",,
,4/18/2013,"2,187","2,169",,
,4/19/2013,"2,488","2,369",,
,4/20/2013,"2,683","2,629",,
,4/21/2013,"1,692","1,806",,
,4/22/2013,"1,545","1,534",,
,4/23/2013,"1,938","1,911",,
,4/24/2013,"2,507","2,476",,
,4/25/2013,"2,564","2,503",,
,4/26/2013,"2,644","2,535",,
,4/27/2013,"2,931","2,865",,
,4/28/2013,"1,947","2,117",,
,4/29/2013,"1,796","1,781",,
,4/30/2013,"1,832","1,826",,
,5/1/2013,"2,047","2,016",,
,5/2/2013,"2,221","2,173",,
,5/3/2013,"2,451","2,328",,
,5/4/2013,"2,476","2,434",,
,5/5/2013,"1,576","1,682",,
,5/6/2013,"1,606","1,597",,
,5/7/2013,"1,959","1,935",,
,5/8/2013,"1,992","1,971",,
,5/9/2013,"2,425","2,377",,
,5/10/2013,"2,684","2,582",,
,5/11/2013,"2,872","2,758",,
,5/12/2013,"1,788","1,938",,
,5/13/2013,"1,592","1,594",,
,5/14/2013,"1,987","1,964",,
,5/15/2013,"2,114","2,067",,
,5/16/2013,"2,383","2,346",,
,5/17/2013,"2,585","2,515",,
,5/18/2013,"2,789","2,709",,
,5/19/2013,"1,372","1,498",,
,5/20/2013,"1,802","1,784",,
,5/21/2013,"2,026","2,006",,
,5/22/2013,"2,240","2,208",,
,5/23/2013,"2,491","2,450",,
,5/24/2013,"2,487","2,422",,
,5/25/2013,"2,648","2,554",,
,5/26/2013,"2,036","2,055",,
,5/27/2013,"2,089","2,161",,
,5/28/2013,"1,882","1,859",,
,5/29/2013,"2,154","2,130",,
,5/30/2013,"2,272","2,226",,
,5/31/2013,"2,397","2,322",,
Valet,11/30/2012,0,0,,
,12/1/2012,0,0,,
,12/2/2012,0,0,,
,12/3/2012,0,0,,
,12/4/2012,0,0,,
,12/5/2012,0,0,,
,12/6/2012,0,0,,
,12/7/2012,0,0,,
,12/8/2012,0,0,,
,12/9/2012,0,0,,
,12/10/2012,0,0,,
,12/11/2012,0,0,,
,12/12/2012,0,0,,
,12/13/2012,0,0,,
,12/14/2012,0,0,,
,12/15/2012,0,0,,
,12/16/2012,0,0,,
,12/17/2012,0,0,,
,12/18/2012,0,0,,
,12/19/2012,0,0,,
,12/20/2012,0,0,,
,12/21/2012,0,0,,
,12/22/2012,0,0,,
,12/23/2012,0,0,,
,12/24/2012,0,0,,
,12/25/2012,0,0,,
,12/26/2012,0,0,,
,12/27/2012,0,0,,
,12/28/2012,0,0,,
,12/29/2012,0,0,,
,12/30/2012,0,0,,
,12/31/2012,0,0,,
,1/1/2013,0,0,,
,1/2/2013,0,0,,
,1/3/2013,0,0,,
,1/4/2013,0,0,,
,1/5/2013,0,0,,
,1/6/2013,0,0,,
,1/7/2013,0,0,,
,1/8/2013,0,0,,
,1/9/2013,0,0,,
,1/10/2013,0,0,,
,1/11/2013,0,0,,
,1/12/2013,0,0,,
,1/13/2013,0,0,,
,1/14/2013,0,0,,
,1/15/2013,0,0,,
,1/16/2013,0,0,,
,1/17/2013,0,0,,
,1/18/2013,0,0,,
,1/19/2013,0,0,,
,1/20/2013,0,0,,
,1/21/2013,0,0,,
,1/22/2013,0,0,,
,1/23/2013,0,0,,
,1/24/2013,0,0,,
,1/25/2013,0,0,,
,1/26/2013,0,0,,
,1/27/2013,0,0,,
,1/28/2013,0,0,,
,1/29/2013,0,0,,
,1/30/2013,0,0,,
,1/31/2013,0,0,,
,2/1/2013,0,0,,
,2/2/2013,0,0,,
,2/3/2013,0,0,,
,2/4/2013,0,0,,
,2/5/2013,0,0,,
,2/6/2013,0,0,,
,2/7/2013,0,0,,
,2/8/2013,0,0,,
,2/9/2013,0,0,,
,2/10/2013,0,0,,
,2/11/2013,0,0,,
,2/12/2013,0,0,,
,2/13/2013,0,0,,
,2/14/2013,0,0,,
,2/15/2013,0,0,,
,2/16/2013,111,6,,
,2/17/2013,2,105,,
,2/18/2013,0,1,,
,2/19/2013,0,0,,
,2/20/2013,0,0,,
,2/21/2013,4,0,,
,2/22/2013,67,14,,
,2/23/2013,8,50,,
,2/24/2013,0,14,,
,2/25/2013,0,0,,
,2/26/2013,0,0,,
,2/27/2013,0,0,,
,2/28/2013,0,0,,
,3/1/2013,0,0,,
,3/2/2013,0,0,,
,3/3/2013,0,0,,
,3/4/2013,0,0,,
,3/5/2013,0,0,,
,3/6/2013,0,0,,
,3/7/2013,0,0,,
,3/8/2013,0,0,,
,3/9/2013,0,0,,
,3/10/2013,0,0,,
,3/11/2013,0,0,,
,3/12/2013,0,0,,
,3/13/2013,1,1,,
,3/14/2013,0,0,,
,3/15/2013,0,0,,
,3/16/2013,17,0,,
,3/17/2013,8,23,,
,3/18/2013,0,2,,
,3/19/2013,0,0,,
,3/20/2013,0,0,,
,3/21/2013,0,0,,
,3/22/2013,0,0,,
,3/23/2013,97,7,,
,3/24/2013,7,93,,
,3/25/2013,0,2,,
,3/26/2013,0,0,,
,3/27/2013,0,0,,
,3/28/2013,32,6,,
,3/29/2013,21,18,,
,3/30/2013,20,27,,
,3/31/2013,6,28,,
,4/1/2013,1,0,,
,4/2/2013,0,1,,
,4/3/2013,14,1,,
,4/4/2013,19,9,,
,4/5/2013,15,12,,
,4/6/2013,127,28,,
,4/7/2013,6,126,,
,4/8/2013,1,0,,
,4/9/2013,2,2,,
,4/10/2013,0,1,,
,4/11/2013,9,3,,
,4/12/2013,0,2,,
,4/13/2013,0,3,,
,4/14/2013,4,1,,
,4/15/2013,1,1,,
,4/16/2013,9,3,,
,4/17/2013,6,11,,
,4/18/2013,1,4,,
,4/19/2013,1,2,,
,4/20/2013,6,0,,
,4/21/2013,0,5,,
,4/22/2013,0,0,,
,4/23/2013,2,0,,
,4/24/2013,3,2,,
,4/25/2013,9,3,,
,4/26/2013,3,8,,
,4/27/2013,0,3,,
,4/28/2013,1,1,,
,4/29/2013,0,1,,
,4/30/2013,0,0,,
,5/1/2013,1,0,,
,5/2/2013,1,1,,
,5/3/2013,39,2,,
,5/4/2013,113,35,,
,5/5/2013,14,124,,
,5/6/2013,4,6,,
,5/7/2013,12,3,,
,5/8/2013,25,10,,
,5/9/2013,8,19,,
,5/10/2013,29,16,,
,5/11/2013,80,30,,
,5/12/2013,8,82,,
,5/13/2013,1,1,,
,5/14/2013,13,1,,
,5/15/2013,6,14,,
,5/16/2013,4,3,,
,5/17/2013,1,3,,
,5/18/2013,7,3,,
,5/19/2013,1,7,,
,5/20/2013,0,1,,
,5/21/2013,2,1,,
,5/22/2013,7,1,,
,5/23/2013,48,13,,
,5/24/2013,75,52,,
,5/25/2013,108,64,,
,5/26/2013,35,99,,
,5/27/2013,4,46,,
,5/28/2013,4,0,,
,5/29/2013,0,2,,
,5/30/2013,10,4,,
,5/31/2013,8,7,,
