Garage entries-exits by garage,,,,,
Facility Name,Japan Center Annex Garage,Off Street Parking ID,936,Parking Management District,Fillmore
Usage Type,Date,Total Entries,Total Exits,,
,9/9/2011,330,298,,
,9/10/2011,411,395,,
,9/11/2011,290,298,,
,9/12/2011,265,247,,
,9/13/2011,213,194,,
,9/14/2011,221,204,,
,9/15/2011,219,192,,
,9/16/2011,386,338,,
,9/17/2011,458,452,,
,9/18/2011,312,323,,
,9/19/2011,162,147,,
,9/20/2011,140,134,,
,9/21/2011,285,252,,
,9/22/2011,198,190,,
,9/23/2011,321,279,,
,9/24/2011,442,428,,
,9/25/2011,380,380,,
,9/26/2011,251,243,,
,9/27/2011,236,226,,
,9/28/2011,156,141,,
,9/29/2011,212,200,,
,9/30/2011,358,317,,
,10/1/2011,417,392,,
,10/2/2011,342,318,,
,10/3/2011,223,246,,
,10/4/2011,225,201,,
,10/5/2011,217,213,,
,10/6/2011,240,224,,
,10/7/2011,369,326,,
,10/8/2011,434,429,,
,10/9/2011,366,363,,
,10/10/2011,304,291,,
,10/11/2011,259,238,,
,10/12/2011,174,164,,
,10/13/2011,234,212,,
,10/14/2011,314,259,,
,10/15/2011,402,430,,
,10/16/2011,356,348,,
,10/17/2011,168,158,,
,10/18/2011,213,194,,
,10/19/2011,246,230,,
,10/20/2011,222,215,,
,10/21/2011,406,340,,
,10/22/2011,448,427,,
,10/23/2011,343,357,,
,10/24/2011,183,175,,
,10/25/2011,233,224,,
,10/26/2011,262,244,,
,10/27/2011,183,176,,
,10/28/2011,340,293,,
,10/29/2011,434,439,,
,10/30/2011,328,316,,
,10/31/2011,147,136,,
,11/1/2011,272,251,,
,11/2/2011,237,222,,
,11/3/2011,267,243,,
,11/4/2011,369,309,,
,11/5/2011,495,478,,
,11/6/2011,408,425,,
,11/7/2011,199,191,,
,11/8/2011,238,222,,
,11/9/2011,205,193,,
,11/10/2011,273,261,,
,11/11/2011,417,356,,
,11/12/2011,456,442,,
,11/13/2011,370,386,,
,11/14/2011,207,188,,
,11/15/2011,229,215,,
,11/16/2011,198,200,,
,11/17/2011,294,279,,
,11/18/2011,440,362,,
,11/19/2011,553,545,,
,11/20/2011,481,509,,
,11/21/2011,278,258,,
,11/22/2011,286,265,,
,11/23/2011,359,334,,
,11/24/2011,91,95,,
,11/25/2011,463,403,,
,11/26/2011,493,453,,
,11/27/2011,351,376,,
,11/28/2011,142,135,,
,11/29/2011,190,168,,
,11/30/2011,184,171,,
,12/1/2011,245,223,,
,12/2/2011,363,307,,
,12/3/2011,461,415,,
,12/4/2011,391,396,,
,12/5/2011,235,194,,
,12/6/2011,202,231,,
,12/7/2011,258,203,,
,12/8/2011,214,242,,
,12/9/2011,301,243,,
,12/10/2011,415,409,,
,12/11/2011,351,369,,
,12/12/2011,214,188,,
,12/13/2011,269,264,,
,12/14/2011,246,230,,
,12/15/2011,307,276,,
,12/16/2011,372,334,,
,12/17/2011,443,412,,
,12/18/2011,446,473,,
,12/19/2011,298,280,,
,12/20/2011,313,304,,
,12/21/2011,348,320,,
,12/22/2011,326,304,,
,12/23/2011,361,331,,
,12/24/2011,317,329,,
,12/25/2011,331,319,,
,12/26/2011,422,404,,
,12/27/2011,406,385,,
,12/28/2011,365,358,,
,12/29/2011,330,306,,
,12/30/2011,459,394,,
,12/31/2011,410,411,,
,1/1/2012,396,407,,
,1/2/2012,436,440,,
,1/3/2012,281,267,,
,1/4/2012,283,270,,
,1/5/2012,322,303,,
,1/6/2012,384,357,,
,1/7/2012,427,392,,
,1/8/2012,366,399,,
,1/9/2012,180,173,,
,1/10/2012,194,186,,
,1/11/2012,234,212,,
,1/12/2012,249,243,,
,1/13/2012,397,349,,
,1/14/2012,454,446,,
,1/15/2012,467,463,,
,1/16/2012,408,415,,
,1/17/2012,220,217,,
,1/18/2012,236,222,,
,1/19/2012,268,262,,
,1/20/2012,462,377,,
,1/21/2012,496,503,,
,1/22/2012,340,376,,
,1/23/2012,232,219,,
,1/24/2012,215,213,,
,1/25/2012,210,196,,
,1/26/2012,323,306,,
,1/27/2012,343,327,,
,1/28/2012,498,443,,
,1/29/2012,406,432,,
,1/30/2012,200,193,,
,1/31/2012,177,166,,
,2/1/2012,246,237,,
,2/2/2012,266,246,,
,2/3/2012,346,323,,
,2/4/2012,452,436,,
,2/5/2012,238,250,,
,2/6/2012,174,165,,
,2/7/2012,203,193,,
,2/8/2012,272,259,,
,2/9/2012,255,245,,
,2/10/2012,383,350,,
,2/11/2012,441,403,,
,2/12/2012,427,445,,
,2/13/2012,281,270,,
,2/14/2012,251,237,,
,2/15/2012,190,175,,
,2/16/2012,224,212,,
,2/17/2012,355,324,,
,2/18/2012,410,380,,
,2/19/2012,382,405,,
,2/20/2012,369,360,,
,2/21/2012,234,215,,
,2/22/2012,195,197,,
,2/23/2012,269,261,,
,2/24/2012,341,303,,
,2/25/2012,446,429,,
,2/26/2012,319,329,,
,2/27/2012,181,168,,
,2/28/2012,221,207,,
,2/29/2012,231,215,,
,3/1/2012,245,232,,
,3/2/2012,391,344,,
,3/3/2012,448,439,,
,3/4/2012,334,344,,
,3/5/2012,175,161,,
,3/6/2012,210,197,,
,3/7/2012,293,238,,
,3/8/2012,255,289,,
,3/9/2012,350,303,,
,3/10/2012,494,489,,
,3/11/2012,386,382,,
,3/12/2012,212,196,,
,3/13/2012,254,241,,
,3/14/2012,290,279,,
,3/15/2012,358,334,,
,3/16/2012,407,380,,
,3/17/2012,482,461,,
,3/18/2012,419,430,,
,3/19/2012,293,285,,
,3/20/2012,272,256,,
,3/21/2012,208,196,,
,3/22/2012,256,244,,
,3/23/2012,444,387,,
,3/24/2012,657,637,,
,3/25/2012,484,516,,
,3/26/2012,279,259,,
,3/27/2012,349,343,,
,3/28/2012,286,273,,
,3/29/2012,318,302,,
,3/30/2012,402,345,,
,3/31/2012,527,510,,
,4/1/2012,377,409,,
,4/2/2012,170,169,,
,4/3/2012,211,206,,
,4/4/2012,297,275,,
,4/5/2012,329,282,,
,4/6/2012,340,351,,
,4/7/2012,377,356,,
,4/8/2012,253,264,,
,4/9/2012,200,193,,
,4/10/2012,278,271,,
,4/11/2012,289,276,,
,4/12/2012,320,304,,
,4/13/2012,346,306,,
,4/14/2012,446,442,,
,4/15/2012,456,465,,
,4/16/2012,231,218,,
,4/17/2012,243,231,,
,4/18/2012,201,190,,
,4/19/2012,271,263,,
,4/20/2012,362,330,,
,4/21/2012,440,414,,
,4/22/2012,481,495,,
,4/23/2012,358,343,,
,4/24/2012,337,316,,
,4/25/2012,331,325,,
,4/26/2012,281,267,,
,4/27/2012,387,357,,
,4/28/2012,435,413,,
,4/29/2012,401,413,,
,4/30/2012,298,290,,
,5/1/2012,336,303,,
,5/2/2012,345,337,,
,5/3/2012,282,278,,
,5/4/2012,399,337,,
,5/5/2012,452,452,,
,5/6/2012,403,390,,
,5/7/2012,206,208,,
,5/8/2012,248,234,,
,5/9/2012,275,264,,
,5/10/2012,286,269,,
,5/11/2012,365,304,,
,5/12/2012,443,452,,
,5/13/2012,454,466,,
,5/14/2012,239,225,,
,5/15/2012,220,213,,
,5/16/2012,273,247,,
,5/17/2012,275,270,,
,5/18/2012,369,328,,
,5/19/2012,412,393,,
,5/20/2012,282,308,,
,5/21/2012,270,251,,
,5/22/2012,256,246,,
,5/23/2012,294,277,,
,5/24/2012,244,233,,
,5/25/2012,349,321,,
,5/26/2012,375,358,,
,5/27/2012,345,337,,
,5/28/2012,334,346,,
,5/29/2012,221,206,,
,5/30/2012,226,215,,
,5/31/2012,197,191,,
,6/1/2012,448,391,,
,6/2/2012,478,464,,
,6/3/2012,416,429,,
,6/4/2012,284,266,,
,6/5/2012,269,237,,
,6/6/2012,280,275,,
,6/7/2012,227,229,,
,6/8/2012,444,371,,
,6/9/2012,423,418,,
,6/10/2012,372,402,,
,6/11/2012,259,247,,
,6/12/2012,244,235,,
,6/13/2012,285,275,,
,6/14/2012,260,230,,
,6/15/2012,358,338,,
,6/16/2012,297,264,,
,6/17/2012,366,396,,
,6/18/2012,267,251,,
,6/19/2012,225,210,,
,6/20/2012,260,252,,
,6/21/2012,286,267,,
,6/22/2012,431,390,,
,6/23/2012,409,407,,
,6/24/2012,352,352,,
,6/25/2012,226,213,,
,6/26/2012,238,227,,
,6/27/2012,258,242,,
,6/28/2012,231,217,,
,6/29/2012,438,367,,
,6/30/2012,505,488,,
,7/1/2012,400,430,,
,7/2/2012,241,223,,
,7/3/2012,340,303,,
,7/4/2012,325,336,,
,7/5/2012,346,322,,
,7/6/2012,411,337,,
,7/7/2012,9,76,,
,7/8/2012,14,11,,
,7/9/2012,268,242,,
,7/10/2012,263,251,,
,7/11/2012,261,253,,
,7/12/2012,281,256,,
,7/13/2012,415,362,,
,7/14/2012,470,466,,
,7/15/2012,381,395,,
,7/16/2012,219,199,,
,7/17/2012,284,270,,
,7/18/2012,232,226,,
,7/19/2012,286,275,,
,7/20/2012,397,342,,
,7/21/2012,483,444,,
,7/22/2012,426,442,,
,7/23/2012,295,294,,
,7/24/2012,265,254,,
,7/25/2012,305,290,,
,7/26/2012,296,277,,
,7/27/2012,335,292,,
,7/28/2012,436,444,,
,7/29/2012,380,381,,
,7/30/2012,223,222,,
,7/31/2012,246,229,,
,8/1/2012,259,246,,
,8/2/2012,259,248,,
,8/3/2012,345,321,,
,8/4/2012,541,536,,
,8/5/2012,630,624,,
,8/6/2012,195,193,,
,8/7/2012,228,216,,
,8/8/2012,266,249,,
,8/9/2012,256,242,,
,8/10/2012,388,334,,
,8/11/2012,419,428,,
,8/12/2012,329,346,,
,8/13/2012,225,219,,
,8/14/2012,229,217,,
,8/15/2012,253,252,,
,8/16/2012,309,296,,
,8/17/2012,393,360,,
,8/18/2012,452,438,,
,8/19/2012,355,363,,
,8/20/2012,205,197,,
,8/21/2012,199,185,,
,8/22/2012,241,241,,
,8/23/2012,228,216,,
,8/24/2012,337,312,,
,8/25/2012,527,509,,
,8/26/2012,504,502,,
,8/27/2012,173,167,,
,8/28/2012,179,170,,
,8/29/2012,201,193,,
,8/30/2012,215,212,,
,8/31/2012,364,338,,
,9/1/2012,410,396,,
,9/2/2012,355,344,,
,9/3/2012,275,264,,
,9/4/2012,170,167,,
,9/5/2012,175,164,,
,9/6/2012,266,250,,
,9/7/2012,360,307,,
,9/8/2012,459,470,,
,9/9/2012,224,227,,
,9/10/2012,157,148,,
,9/11/2012,153,144,,
,9/12/2012,205,192,,
,9/13/2012,213,198,,
,9/14/2012,376,315,,
,9/15/2012,365,380,,
,9/16/2012,314,288,,
,9/17/2012,152,169,,
,9/18/2012,169,159,,
,9/19/2012,276,271,,
,9/20/2012,295,273,,
,9/21/2012,362,332,,
,9/22/2012,414,409,,
,9/23/2012,285,282,,
,9/24/2012,217,200,,
,9/25/2012,166,150,,
,9/26/2012,296,269,,
,9/27/2012,205,211,,
,9/28/2012,360,315,,
,9/29/2012,478,424,,
,9/30/2012,271,304,,
,10/1/2012,227,225,,
,10/2/2012,160,150,,
,10/3/2012,235,219,,
,10/4/2012,257,238,,
,10/5/2012,332,310,,
,10/6/2012,323,286,,
,10/7/2012,302,300,,
,10/8/2012,289,300,,
,10/9/2012,274,255,,
,10/10/2012,244,233,,
,10/11/2012,209,192,,
,10/12/2012,434,369,,
,10/13/2012,500,469,,
,10/14/2012,377,400,,
,10/15/2012,200,199,,
,10/16/2012,166,159,,
,10/17/2012,252,237,,
,10/18/2012,233,216,,
,10/19/2012,393,365,,
,10/20/2012,476,432,,
,10/21/2012,396,422,,
,10/22/2012,155,146,,
,10/23/2012,291,282,,
,10/24/2012,224,193,,
,10/25/2012,217,222,,
,10/26/2012,348,313,,
,10/27/2012,431,416,,
,10/28/2012,289,294,,
,10/29/2012,203,184,,
,10/30/2012,283,269,,
,10/31/2012,207,196,,
,11/1/2012,339,306,,
,11/2/2012,390,349,,
,11/3/2012,490,468,,
,11/4/2012,384,409,,
,11/5/2012,182,162,,
,11/6/2012,127,122,,
,11/7/2012,303,284,,
,11/8/2012,277,269,,
,11/9/2012,451,365,,
,11/10/2012,479,488,,
,11/11/2012,483,484,,
,11/12/2012,325,318,,
,11/13/2012,277,249,,
,11/14/2012,284,279,,
,11/15/2012,311,269,,
,11/16/2012,521,432,,
,11/17/2012,542,556,,
,11/18/2012,490,535,,
,11/19/2012,348,327,,
,11/20/2012,369,330,,
,11/21/2012,395,343,,
,11/22/2012,186,201,,
,11/23/2012,510,444,,
,11/24/2012,556,523,,
,11/25/2012,486,522,,
,11/26/2012,282,259,,
,11/27/2012,261,251,,
,11/28/2012,317,297,,
,11/29/2012,323,303,,
,11/30/2012,417,334,,
,12/1/2012,535,518,,
,12/2/2012,484,522,,
,12/3/2012,224,215,,
,12/4/2012,261,244,,
,12/5/2012,290,274,,
,12/6/2012,279,268,,
,12/7/2012,419,352,,
,12/8/2012,518,473,,
,12/9/2012,380,447,,
,12/10/2012,234,224,,
,12/11/2012,212,198,,
,12/12/2012,264,248,,
,12/13/2012,289,275,,
,12/14/2012,449,375,,
,12/15/2012,466,478,,
,12/16/2012,458,461,,
,12/17/2012,288,266,,
,12/18/2012,277,261,,
,12/19/2012,284,271,,
,12/20/2012,344,321,,
,12/21/2012,439,393,,
,12/22/2012,447,423,,
,12/23/2012,460,465,,
,12/24/2012,267,261,,
,12/25/2012,525,471,,
,12/26/2012,473,485,,
,12/27/2012,455,444,,
,12/28/2012,446,376,,
,12/29/2012,473,481,,
,12/30/2012,492,463,,
,12/31/2012,419,402,,
,1/1/2013,399,435,,
,1/2/2013,351,341,,
,1/3/2013,345,333,,
,1/4/2013,450,383,,
,1/5/2013,520,497,,
,1/6/2013,490,514,,
,1/7/2013,271,280,,
,1/8/2013,315,301,,
,1/9/2013,345,333,,
,1/10/2013,311,304,,
,1/11/2013,419,343,,
,1/12/2013,458,435,,
,1/13/2013,427,450,,
,1/14/2013,259,255,,
,1/15/2013,299,289,,
,1/16/2013,312,302,,
,1/17/2013,263,256,,
,1/18/2013,399,315,,
,1/19/2013,476,461,,
,1/20/2013,387,416,,
,1/21/2013,396,403,,
,1/22/2013,200,191,,
,1/23/2013,329,313,,
,1/24/2013,303,298,,
,1/25/2013,336,292,,
,1/26/2013,484,446,,
,1/27/2013,434,476,,
,1/28/2013,201,205,,
,1/29/2013,207,201,,
,1/30/2013,237,227,,
,1/31/2013,303,278,,
,2/1/2013,397,390,,
,2/2/2013,479,439,,
,2/3/2013,203,236,,
,2/4/2013,216,210,,
,2/5/2013,198,196,,
,2/6/2013,207,200,,
,2/7/2013,247,244,,
,2/8/2013,376,345,,
,2/9/2013,458,443,,
,2/10/2013,386,389,,
,2/11/2013,227,221,,
,2/12/2013,200,195,,
,2/13/2013,253,238,,
,2/14/2013,335,322,,
,2/15/2013,349,299,,
,2/16/2013,567,548,,
,2/17/2013,415,455,,
,2/18/2013,403,396,,
,2/19/2013,271,259,,
,2/20/2013,236,231,,
,2/21/2013,244,230,,
,2/22/2013,395,350,,
,2/23/2013,448,437,,
,2/24/2013,266,283,,
,2/25/2013,171,166,,
,2/26/2013,226,216,,
,2/27/2013,247,236,,
,2/28/2013,269,260,,
,3/1/2013,364,310,,
,3/2/2013,447,378,,
,3/3/2013,416,428,,
,3/4/2013,168,166,,
,3/5/2013,196,183,,
,3/6/2013,252,249,,
,3/7/2013,224,216,,
,3/8/2013,381,324,,
,3/9/2013,542,520,,
,3/10/2013,383,410,,
,3/11/2013,271,268,,
,3/12/2013,170,168,,
,3/13/2013,175,167,,
,3/14/2013,298,288,,
,3/15/2013,400,349,,
,3/16/2013,505,476,,
,3/17/2013,283,321,,
,3/18/2013,175,172,,
,3/19/2013,266,252,,
,3/20/2013,261,254,,
,3/21/2013,256,240,,
,3/22/2013,423,341,,
,3/23/2013,453,471,,
,3/24/2013,413,418,,
,3/25/2013,199,194,,
,3/26/2013,199,191,,
,3/27/2013,345,331,,
,3/28/2013,309,272,,
,3/29/2013,418,395,,
,3/30/2013,447,428,,
,3/31/2013,334,349,,
,4/1/2013,177,168,,
,4/2/2013,165,153,,
,4/3/2013,201,192,,
,4/4/2013,305,276,,
,4/5/2013,400,347,,
,4/6/2013,448,447,,
,4/7/2013,423,421,,
,4/8/2013,194,183,,
,4/9/2013,189,172,,
,4/10/2013,271,262,,
,4/11/2013,323,323,,
,4/12/2013,411,337,,
,4/13/2013,508,519,,
,4/14/2013,461,475,,
,4/15/2013,257,243,,
,4/16/2013,263,242,,
,4/17/2013,207,202,,
,4/18/2013,213,202,,
,4/19/2013,358,308,,
,4/20/2013,496,472,,
,4/21/2013,472,506,,
,4/22/2013,246,243,,
,4/23/2013,175,172,,
,4/24/2013,247,240,,
,4/25/2013,296,249,,
,4/26/2013,397,382,,
,4/27/2013,487,454,,
,4/28/2013,467,484,,
,4/29/2013,336,295,,
,4/30/2013,311,301,,
,5/1/2013,308,288,,
,5/2/2013,390,337,,
,5/3/2013,440,378,,
,5/4/2013,506,472,,
,5/5/2013,463,460,,
,5/6/2013,278,245,,
,5/7/2013,317,275,,
,5/8/2013,341,310,,
,5/9/2013,322,307,,
,5/10/2013,408,324,,
,5/11/2013,499,468,,
,5/12/2013,472,493,,
,5/13/2013,227,214,,
,5/14/2013,284,273,,
,5/15/2013,263,190,,
,5/16/2013,331,294,,
,5/17/2013,458,357,,
,5/18/2013,515,500,,
,5/19/2013,377,419,,
,5/20/2013,245,235,,
,5/21/2013,235,227,,
,5/22/2013,266,250,,
,5/23/2013,275,261,,
,5/24/2013,465,373,,
,5/25/2013,459,486,,
,5/26/2013,462,427,,
,5/27/2013,470,474,,
,5/28/2013,256,251,,
,5/29/2013,286,241,,
,5/30/2013,276,281,,
,5/31/2013,397,355,,
