Garage entries-exits by garage,,,,,
Facility Name,16th and Hoff Garage,Off Street Parking ID,930,Parking Management District,Mission
Usage Type,Date,Total Entries,Total Exits,,
,9/21/2011,105.00,100.00,,
,9/22/2011,105.00,110.00,,
,9/23/2011,132.00,110.00,,
,9/24/2011,193.00,194.00,,
,9/25/2011,181.00,197.00,,
,9/26/2011,83.00,83.00,,
,9/27/2011,103.00,105.00,,
,9/28/2011,110.00,110.00,,
,9/29/2011,111.00,110.00,,
,9/30/2011,162.00,140.00,,
,10/1/2011,189.00,181.00,,
,10/2/2011,181.00,207.00,,
,10/3/2011,87.00,86.00,,
,10/4/2011,92.00,91.00,,
,10/5/2011,114.00,110.00,,
,10/6/2011,118.00,115.00,,
,10/7/2011,165.00,143.00,,
,10/8/2011,169.00,170.00,,
,10/9/2011,122.00,140.00,,
,10/10/2011,64.00,62.00,,
,10/11/2011,104.00,104.00,,
,10/12/2011,126.00,119.00,,
,10/13/2011,138.00,135.00,,
,10/14/2011,158.00,136.00,,
,10/15/2011,195.00,193.00,,
,10/16/2011,170.00,183.00,,
,10/17/2011,91.00,91.00,,
,10/18/2011,117.00,116.00,,
,10/19/2011,122.00,116.00,,
,10/20/2011,135.00,135.00,,
,10/21/2011,163.00,143.00,,
,10/22/2011,201.00,192.00,,
,10/23/2011,149.00,172.00,,
,10/24/2011,74.00,75.00,,
,10/25/2011,125.00,124.00,,
,10/26/2011,126.00,109.00,,
,10/27/2011,128.00,126.00,,
,10/28/2011,159.00,143.00,,
,10/29/2011,195.00,178.00,,
,10/30/2011,178.00,209.00,,
,10/31/2011,76.00,71.00,,
,11/1/2011,125.00,124.00,,
,11/2/2011,106.00,106.00,,
,11/3/2011,121.00,118.00,,
,11/4/2011,169.00,157.00,,
,11/5/2011,202.00,195.00,,
,11/6/2011,159.00,179.00,,
,11/7/2011,103.00,101.00,,
,11/8/2011,112.00,113.00,,
,11/9/2011,111.00,103.00,,
,11/10/2011,133.00,127.00,,
,11/11/2011,136.00,124.00,,
,11/12/2011,210.00,200.00,,
,11/13/2011,164.00,184.00,,
,11/14/2011,105.00,105.00,,
,11/15/2011,120.00,120.00,,
,11/16/2011,112.00,112.00,,
,11/17/2011,121.00,121.00,,
,11/18/2011,165.00,144.00,,
,11/19/2011,199.00,197.00,,
,11/20/2011,161.00,172.00,,
,11/21/2011,110.00,109.00,,
,11/22/2011,143.00,139.00,,
,11/23/2011,89.00,89.00,,
,11/24/2011,6.00,6.00,,
,11/25/2011,87.00,84.00,,
,11/26/2011,173.00,156.00,,
,11/27/2011,122.00,138.00,,
,11/28/2011,84.00,83.00,,
,11/29/2011,115.00,114.00,,
,11/30/2011,114.00,113.00,,
,12/1/2011,153.00,152.00,,
,12/2/2011,166.00,141.00,,
,12/3/2011,197.00,201.00,,
,12/4/2011,173.00,192.00,,
,12/5/2011,94.00,96.00,,
,12/6/2011,127.00,126.00,,
,12/7/2011,136.00,130.00,,
,12/8/2011,140.00,140.00,,
,12/9/2011,175.00,153.00,,
,12/10/2011,188.00,185.00,,
,12/11/2011,160.00,178.00,,
,12/12/2011,109.00,110.00,,
,12/13/2011,114.00,114.00,,
,12/14/2011,140.00,138.00,,
,12/15/2011,135.00,131.00,,
,12/16/2011,193.00,179.00,,
,12/17/2011,215.00,204.00,,
,12/18/2011,205.00,219.00,,
,12/19/2011,107.00,107.00,,
,12/20/2011,138.00,138.00,,
,12/21/2011,140.00,138.00,,
,12/22/2011,127.00,123.00,,
,12/23/2011,148.00,142.00,,
,12/24/2011,37.00,40.00,,
,12/25/2011,9.00,13.00,,
,12/26/2011,86.00,81.00,,
,12/27/2011,104.00,105.00,,
,12/28/2011,123.00,124.00,,
,12/29/2011,132.00,129.00,,
,12/30/2011,188.00,172.00,,
,12/31/2011,133.00,108.00,,
,1/1/2012,64.00,96.00,,
,1/2/2012,106.00,110.00,,
,1/3/2012,108.00,105.00,,
,1/4/2012,110.00,111.00,,
,1/5/2012,128.00,129.00,,
,1/6/2012,175.00,154.00,,
,1/7/2012,212.00,215.00,,
,1/8/2012,159.00,170.00,,
,1/9/2012,85.00,81.00,,
,1/10/2012,125.00,126.00,,
,1/11/2012,122.00,125.00,,
,1/12/2012,122.00,119.00,,
,1/13/2012,194.00,178.00,,
,1/14/2012,202.00,197.00,,
,1/15/2012,182.00,202.00,,
,1/16/2012,109.00,108.00,,
,1/17/2012,111.00,108.00,,
,1/18/2012,117.00,119.00,,
,1/19/2012,135.00,132.00,,
,1/20/2012,160.00,147.00,,
,1/21/2012,268.00,248.00,,
,1/22/2012,133.00,164.00,,
,1/23/2012,78.00,80.00,,
,1/24/2012,123.00,121.00,,
,1/25/2012,124.00,127.00,,
,1/26/2012,140.00,139.00,,
,1/27/2012,189.00,158.00,,
,1/28/2012,243.00,243.00,,
,1/29/2012,170.00,193.00,,
,1/30/2012,87.00,87.00,,
,1/31/2012,130.00,127.00,,
,2/1/2012,104.00,104.00,,
,2/2/2012,120.00,119.00,,
,2/3/2012,203.00,176.00,,
,2/4/2012,246.00,249.00,,
,2/5/2012,94.00,117.00,,
,2/6/2012,84.00,83.00,,
,2/7/2012,114.00,110.00,,
,2/8/2012,140.00,143.00,,
,2/9/2012,154.00,145.00,,
,2/10/2012,160.00,141.00,,
,2/11/2012,225.00,212.00,,
,2/12/2012,198.00,224.00,,
,2/13/2012,111.00,109.00,,
,2/14/2012,160.00,160.00,,
,2/15/2012,129.00,130.00,,
,2/16/2012,151.00,144.00,,
,2/17/2012,199.00,178.00,,
,2/18/2012,198.00,197.00,,
,2/19/2012,178.00,194.00,,
