Garage entries-exits by garage,,,,,
Facility Name,16th and Hoff Garage,Off Street Parking ID,930,Parking Management District,Mission
Usage Type,Date,Total Entries,Total Exits,,
,4/20/2013,235.00,229.00,,
,4/21/2013,139.00,161.00,,
,4/22/2013,118.00,115.00,,
,4/23/2013,147.00,144.00,,
,4/24/2013,155.00,151.00,,
,4/25/2013,139.00,135.00,,
,4/26/2013,193.00,174.00,,
,4/27/2013,238.00,223.00,,
,4/28/2013,142.00,166.00,,
,4/29/2013,125.00,123.00,,
,4/30/2013,131.00,126.00,,
,5/1/2013,156.00,157.00,,
,5/2/2013,159.00,153.00,,
,5/3/2013,186.00,166.00,,
,5/4/2013,218.00,217.00,,
,5/5/2013,145.00,156.00,,
,5/6/2013,119.00,119.00,,
,5/7/2013,141.00,135.00,,
,5/8/2013,126.00,126.00,,
,5/9/2013,153.00,152.00,,
,5/10/2013,203.00,170.00,,
,5/11/2013,235.00,224.00,,
,5/12/2013,159.00,180.00,,
,5/13/2013,127.00,127.00,,
,5/14/2013,164.00,162.00,,
,5/15/2013,147.00,146.00,,
,5/16/2013,156.00,150.00,,
,5/17/2013,195.00,169.00,,
,5/18/2013,225.00,211.00,,
,5/19/2013,119.00,145.00,,
,5/20/2013,136.00,135.00,,
,5/21/2013,157.00,155.00,,
,5/22/2013,144.00,142.00,,
,5/23/2013,171.00,166.00,,
,5/24/2013,196.00,177.00,,
,5/25/2013,223.00,202.00,,
,5/26/2013,202.00,211.00,,
,5/27/2013,119.00,116.00,,
,5/28/2013,141.00,136.00,,
,5/29/2013,147.00,146.00,,
,5/30/2013,155.00,156.00,,
,5/31/2013,214.00,182.00,,
