Garage entries-exits by garage,,,,,
Facility Name,Lombard Street Garage,Off Street Parking ID,938,Parking Management District,Marina
Usage Type,Date,Total Entries,Total Exits,,
,9/27/2011,112,108,,
,9/28/2011,178,175,,
,9/29/2011,143,141,,
,9/30/2011,193,167,,
,10/1/2011,267,250,,
,10/2/2011,112,145,,
,10/3/2011,100,98,,
,10/4/2011,110,109,,
,10/5/2011,153,157,,
,10/6/2011,163,152,,
,10/7/2011,317,283,,
,10/8/2011,358,336,,
,10/9/2011,249,297,,
,10/10/2011,90,95,,
,10/11/2011,108,107,,
,10/12/2011,148,148,,
,10/13/2011,164,149,,
,10/14/2011,237,218,,
,10/15/2011,312,309,,
,10/16/2011,136,163,,
,10/17/2011,104,103,,
,10/18/2011,118,114,,
,10/19/2011,163,165,,
,10/20/2011,196,190,,
,10/21/2011,235,197,,
,10/22/2011,243,257,,
,10/23/2011,90,113,,
,10/24/2011,79,82,,
,10/25/2011,118,112,,
,10/26/2011,169,168,,
,10/27/2011,183,181,,
,10/28/2011,205,170,,
,10/29/2011,326,274,,
,10/30/2011,151,231,,
,10/31/2011,92,97,,
,11/1/2011,86,85,,
,11/2/2011,162,157,,
,11/3/2011,170,163,,
,11/4/2011,260,226,,
,11/5/2011,456,433,,
,11/6/2011,156,210,,
,11/7/2011,127,126,,
,11/8/2011,129,129,,
,11/9/2011,155,150,,
,11/10/2011,210,191,,
,11/11/2011,251,224,,
,11/12/2011,395,372,,
,11/13/2011,164,219,,
,11/14/2011,108,106,,
,11/15/2011,158,157,,
,11/16/2011,157,153,,
,11/17/2011,223,211,,
,11/18/2011,308,269,,
,11/19/2011,375,352,,
,11/20/2011,154,211,,
,11/21/2011,116,113,,
,11/22/2011,167,156,,
,11/23/2011,121,126,,
,11/24/2011,0,6,,
,11/25/2011,91,78,,
,11/26/2011,144,139,,
,11/27/2011,62,72,,
,11/28/2011,92,95,,
,11/29/2011,114,109,,
,11/30/2011,185,179,,
,12/1/2011,179,175,,
,12/2/2011,295,250,,
,12/3/2011,461,409,,
,12/4/2011,171,252,,
,12/5/2011,118,119,,
,12/6/2011,159,149,,
,12/7/2011,185,181,,
,12/8/2011,275,267,,
,12/9/2011,375,325,,
,12/10/2011,373,375,,
,12/11/2011,187,231,,
,12/12/2011,110,114,,
,12/13/2011,199,192,,
,12/14/2011,231,227,,
,12/15/2011,325,304,,
,12/16/2011,338,302,,
,12/17/2011,473,417,,
,12/18/2011,230,315,,
,12/19/2011,163,164,,
,12/20/2011,222,213,,
,12/21/2011,229,217,,
,12/22/2011,222,202,,
,12/23/2011,170,172,,
,12/24/2011,46,60,,
,12/25/2011,0,1,,
,12/26/2011,52,46,,
,12/27/2011,117,114,,
,12/28/2011,134,126,,
,12/29/2011,161,144,,
,12/30/2011,220,197,,
,12/31/2011,316,227,,
,1/1/2012,5,94,,
,1/2/2012,100,107,,
,1/3/2012,130,124,,
,1/4/2012,169,163,,
,1/5/2012,168,157,,
,1/6/2012,244,211,,
,1/7/2012,417,374,,
,1/8/2012,145,194,,
,1/9/2012,135,131,,
,1/10/2012,125,117,,
,1/11/2012,207,203,,
,1/12/2012,225,217,,
,1/13/2012,276,231,,
,1/14/2012,447,410,,
,1/15/2012,187,243,,
,1/16/2012,148,148,,
,1/17/2012,153,152,,
,1/18/2012,163,161,,
,1/19/2012,162,153,,
,1/20/2012,218,187,,
,1/21/2012,430,380,,
,1/22/2012,265,323,,
,1/23/2012,93,102,,
,1/24/2012,134,127,,
,1/25/2012,174,172,,
,1/26/2012,175,167,,
,1/27/2012,297,262,,
,1/28/2012,409,403,,
,1/29/2012,156,214,,
,1/30/2012,101,106,,
,1/31/2012,128,128,,
,2/1/2012,164,160,,
,2/2/2012,200,192,,
,2/3/2012,298,249,,
,2/4/2012,441,408,,
,2/5/2012,136,189,,
,2/6/2012,123,124,,
,2/7/2012,188,183,,
,2/8/2012,198,199,,
,2/9/2012,228,213,,
,2/10/2012,267,240,,
,2/11/2012,426,397,,
,2/12/2012,123,183,,
,2/13/2012,148,145,,
,2/14/2012,220,207,,
,2/15/2012,242,231,,
,2/16/2012,212,197,,
,2/17/2012,206,193,,
,2/18/2012,308,281,,
,2/19/2012,340,356,,
,2/20/2012,131,137,,
,2/21/2012,151,149,,
,2/22/2012,193,187,,
,2/23/2012,183,201,,
,2/24/2012,287,245,,
,2/25/2012,420,396,,
,2/26/2012,163,217,,
,2/27/2012,115,112,,
,2/28/2012,158,149,,
,2/29/2012,188,182,,
,3/1/2012,196,182,,
,3/2/2012,313,268,,
,3/3/2012,383,366,,
,3/4/2012,193,232,,
,3/5/2012,127,130,,
,3/6/2012,196,180,,
,3/7/2012,225,196,,
,3/8/2012,213,201,,
,3/9/2012,274,228,,
,3/10/2012,447,433,,
,3/11/2012,133,192,,
,3/12/2012,118,117,,
,3/13/2012,177,167,,
,3/14/2012,199,187,,
,3/15/2012,260,234,,
,3/16/2012,284,247,,
,3/17/2012,522,412,,
,3/18/2012,244,282,,
,3/19/2012,132,114,,
,3/20/2012,185,179,,
,3/21/2012,173,172,,
,3/22/2012,282,255,,
,3/23/2012,300,240,,
,3/24/2012,322,293,,
,3/25/2012,175,195,,
,3/26/2012,169,152,,
,3/27/2012,190,176,,
,3/28/2012,235,229,,
,3/29/2012,257,244,,
,3/30/2012,400,310,,
,3/31/2012,574,410,,
,4/1/2012,237,247,,
,4/2/2012,154,138,,
,4/3/2012,210,170,,
,4/4/2012,309,238,,
,4/5/2012,322,226,,
,4/6/2012,307,240,,
,4/7/2012,369,278,,
,4/8/2012,376,360,,
,4/9/2012,124,113,,
,4/10/2012,212,186,,
,4/11/2012,201,174,,
,4/12/2012,199,182,,
,4/13/2012,295,227,,
,4/14/2012,417,407,,
,4/15/2012,117,158,,
,4/16/2012,103,106,,
,4/17/2012,157,148,,
,4/18/2012,168,163,,
,4/19/2012,250,230,,
,4/20/2012,319,261,,
,4/21/2012,366,343,,
,4/22/2012,116,167,,
,4/23/2012,133,132,,
,4/24/2012,166,160,,
,4/25/2012,203,202,,
,4/26/2012,221,207,,
,4/27/2012,240,214,,
,4/28/2012,303,275,,
,4/29/2012,129,185,,
,4/30/2012,117,121,,
,5/1/2012,175,167,,
,5/2/2012,192,184,,
,5/3/2012,207,194,,
,5/4/2012,226,206,,
,5/5/2012,364,324,,
,5/6/2012,127,184,,
,5/7/2012,138,138,,
,5/8/2012,169,168,,
,5/9/2012,204,197,,
,5/10/2012,197,191,,
,5/11/2012,295,249,,
,5/12/2012,274,282,,
,5/13/2012,116,147,,
,5/14/2012,147,146,,
,5/15/2012,182,174,,
,5/16/2012,175,172,,
,5/17/2012,236,225,,
,5/18/2012,274,231,,
,5/19/2012,440,405,,
,5/20/2012,197,261,,
,5/21/2012,122,117,,
,5/22/2012,196,182,,
,5/23/2012,205,200,,
,5/24/2012,229,223,,
,5/25/2012,240,214,,
,5/26/2012,214,203,,
,5/27/2012,393,384,,
,5/28/2012,76,95,,
,5/29/2012,145,135,,
,5/30/2012,237,208,,
,5/31/2012,225,205,,
,6/1/2012,260,217,,
,6/2/2012,478,425,,
,6/3/2012,326,379,,
,6/4/2012,133,127,,
,6/5/2012,188,175,,
,6/6/2012,223,210,,
,6/7/2012,195,189,,
,6/8/2012,248,215,,
,6/9/2012,342,315,,
,6/10/2012,144,198,,
,6/11/2012,118,116,,
,6/12/2012,172,166,,
,6/13/2012,207,195,,
,6/14/2012,262,241,,
,6/15/2012,280,241,,
,6/16/2012,284,295,,
,6/17/2012,69,105,,
,6/18/2012,100,102,,
,6/19/2012,181,180,,
,6/20/2012,224,218,,
,6/21/2012,200,189,,
,6/22/2012,226,183,,
,6/23/2012,266,276,,
,6/24/2012,115,148,,
,6/25/2012,118,113,,
,6/26/2012,172,163,,
,6/27/2012,191,199,,
,6/28/2012,183,181,,
,6/29/2012,208,191,,
,6/30/2012,237,226,,
,7/1/2012,101,126,,
,7/2/2012,123,131,,
,7/3/2012,161,148,,
,7/4/2012,240,209,,
,7/5/2012,144,177,,
,7/6/2012,173,155,,
,7/7/2012,216,195,,
,7/8/2012,109,148,,
,7/9/2012,108,106,,
,7/10/2012,171,167,,
,7/11/2012,204,204,,
,7/12/2012,226,215,,
,7/13/2012,233,190,,
,7/14/2012,286,290,,
,7/15/2012,155,200,,
,7/16/2012,95,98,,
,7/17/2012,155,149,,
,7/18/2012,184,176,,
,7/19/2012,184,181,,
,7/20/2012,194,180,,
,7/21/2012,335,311,,
,7/22/2012,138,174,,
,7/23/2012,124,125,,
,7/24/2012,191,174,,
,7/25/2012,183,192,,
,7/26/2012,211,199,,
,7/27/2012,187,157,,
,7/28/2012,270,272,,
,7/29/2012,115,155,,
,7/30/2012,100,97,,
,7/31/2012,168,159,,
,8/1/2012,204,202,,
,8/2/2012,192,193,,
,8/3/2012,216,186,,
,8/4/2012,225,219,,
,8/5/2012,105,139,,
,8/6/2012,124,122,,
,8/7/2012,164,166,,
,8/8/2012,185,181,,
,8/9/2012,181,179,,
,8/10/2012,221,176,,
,8/11/2012,285,252,,
,8/12/2012,113,180,,
,8/13/2012,111,115,,
,8/14/2012,170,169,,
,8/15/2012,215,210,,
,8/16/2012,229,221,,
,8/17/2012,265,237,,
,8/18/2012,228,225,,
,8/19/2012,94,133,,
,8/20/2012,141,137,,
,8/21/2012,235,227,,
,8/22/2012,270,265,,
,8/23/2012,241,241,,
,8/24/2012,342,303,,
,8/25/2012,381,370,,
,8/26/2012,283,330,,
,8/27/2012,118,119,,
,8/28/2012,183,176,,
,8/29/2012,187,184,,
,8/30/2012,158,154,,
,8/31/2012,172,155,,
,9/1/2012,161,157,,
,9/2/2012,94,113,,
,9/3/2012,64,61,,
,9/4/2012,140,136,,
,9/5/2012,182,176,,
,9/6/2012,202,200,,
,9/7/2012,245,212,,
,9/8/2012,329,297,,
,9/9/2012,172,233,,
,9/10/2012,106,108,,
,9/11/2012,178,174,,
,9/12/2012,215,208,,
,9/13/2012,201,196,,
,9/14/2012,271,237,,
,9/15/2012,297,283,,
,9/16/2012,142,189,,
,9/17/2012,106,105,,
,9/18/2012,164,157,,
,9/19/2012,213,204,,
,9/20/2012,217,215,,
,9/21/2012,244,217,,
,9/22/2012,344,324,,
,9/23/2012,151,200,,
,9/24/2012,111,108,,
,9/25/2012,176,179,,
,9/26/2012,203,197,,
,9/27/2012,175,169,,
,9/28/2012,251,201,,
,9/29/2012,329,320,,
,9/30/2012,142,200,,
,10/1/2012,120,114,,
,10/2/2012,195,193,,
,10/3/2012,241,242,,
,10/4/2012,254,245,,
,10/5/2012,332,287,,
,10/6/2012,297,285,,
,10/7/2012,224,279,,
,10/8/2012,102,109,,
,10/9/2012,193,187,,
,10/10/2012,210,207,,
,10/11/2012,200,196,,
,10/12/2012,249,214,,
,10/13/2012,402,382,,
,10/14/2012,151,201,,
,10/15/2012,139,140,,
,10/16/2012,162,162,,
,10/17/2012,204,198,,
,10/18/2012,190,183,,
,10/19/2012,282,240,,
,10/20/2012,304,312,,
,10/21/2012,130,171,,
,10/22/2012,102,85,,
,10/23/2012,173,175,,
,10/24/2012,211,212,,
,10/25/2012,223,208,,
,10/26/2012,235,200,,
,10/27/2012,447,372,,
,10/28/2012,245,336,,
,10/29/2012,107,114,,
,10/30/2012,151,146,,
,10/31/2012,191,182,,
,11/1/2012,191,201,,
,11/2/2012,265,230,,
,11/3/2012,438,387,,
,11/4/2012,167,247,,
,11/5/2012,131,131,,
,11/6/2012,171,165,,
,11/7/2012,185,190,,
,11/8/2012,229,221,,
,11/9/2012,270,216,,
,11/10/2012,388,393,,
,11/11/2012,172,222,,
,11/12/2012,116,113,,
,11/13/2012,160,162,,
,11/14/2012,199,194,,
,11/15/2012,222,216,,
,11/16/2012,289,254,,
,11/17/2012,463,443,,
,11/18/2012,243,300,,
,11/19/2012,154,153,,
,11/20/2012,195,193,,
,11/21/2012,157,160,,
,11/22/2012,0,6,,
,11/23/2012,117,89,,
,11/24/2012,200,197,,
,11/25/2012,71,98,,
,11/26/2012,108,105,,
,11/27/2012,175,174,,
,11/28/2012,208,209,,
,11/29/2012,188,186,,
,11/30/2012,288,259,,
,12/1/2012,470,434,,
,12/2/2012,155,217,,
,12/3/2012,151,149,,
,12/4/2012,203,190,,
,12/5/2012,193,187,,
,12/6/2012,293,279,,
,12/7/2012,302,273,,
,12/8/2012,425,406,,
,12/9/2012,169,225,,
,12/10/2012,136,135,,
,12/11/2012,186,188,,
,12/12/2012,249,241,,
,12/13/2012,234,231,,
,12/14/2012,276,243,,
,12/15/2012,451,420,,
,12/16/2012,183,254,,
,12/17/2012,170,166,,
,12/18/2012,273,262,,
,12/19/2012,295,300,,
,12/20/2012,261,249,,
,12/21/2012,265,250,,
,12/22/2012,246,245,,
,12/23/2012,61,85,,
,12/24/2012,55,56,,
,12/25/2012,0,0,,
,12/26/2012,81,75,,
,12/27/2012,189,184,,
,12/28/2012,202,192,,
,12/29/2012,184,180,,
,12/30/2012,131,144,,
,12/31/2012,234,163,,
,1/1/2013,6,72,,
,1/2/2013,127,141,,
,1/3/2013,169,163,,
,1/4/2013,253,236,,
,1/5/2013,323,309,,
,1/6/2013,99,131,,
,1/7/2013,129,126,,
,1/8/2013,182,185,,
,1/9/2013,202,195,,
,1/10/2013,212,210,,
,1/11/2013,278,237,,
,1/12/2013,411,389,,
,1/13/2013,131,192,,
,1/14/2013,115,114,,
,1/15/2013,191,188,,
,1/16/2013,167,161,,
,1/17/2013,200,193,,
,1/18/2013,203,185,,
,1/19/2013,340,309,,
,1/20/2013,241,280,,
,1/21/2013,108,119,,
,1/22/2013,153,151,,
,1/23/2013,164,165,,
,1/24/2013,189,184,,
,1/25/2013,233,201,,
,1/26/2013,358,344,,
,1/27/2013,114,160,,
,1/28/2013,119,116,,
,1/29/2013,152,149,,
,1/30/2013,183,185,,
,1/31/2013,170,161,,
,2/1/2013,236,209,,
,2/2/2013,376,355,,
,2/3/2013,202,227,,
,2/4/2013,111,140,,
,2/5/2013,183,178,,
,2/6/2013,172,169,,
,2/7/2013,178,174,,
,2/8/2013,225,209,,
,2/9/2013,324,308,,
,2/10/2013,126,164,,
,2/11/2013,131,130,,
,2/12/2013,186,181,,
,2/13/2013,197,193,,
,2/14/2013,233,218,,
,2/15/2013,268,251,,
,2/16/2013,389,355,,
,2/17/2013,134,182,,
,2/18/2013,117,129,,
,2/19/2013,163,160,,
,2/20/2013,167,147,,
,2/21/2013,205,198,,
,2/22/2013,253,218,,
,2/23/2013,353,350,,
,2/24/2013,125,165,,
,2/25/2013,119,120,,
,2/26/2013,177,177,,
,2/27/2013,244,234,,
,2/28/2013,212,202,,
,3/1/2013,265,246,,
,3/2/2013,340,326,,
,3/3/2013,170,216,,
,3/4/2013,175,170,,
,3/5/2013,172,176,,
,3/6/2013,189,189,,
,3/7/2013,215,204,,
,3/8/2013,271,241,,
,3/9/2013,430,424,,
,3/10/2013,151,181,,
,3/11/2013,117,124,,
,3/12/2013,196,196,,
,3/13/2013,174,173,,
,3/14/2013,207,199,,
,3/15/2013,266,232,,
,3/16/2013,428,382,,
,3/17/2013,249,318,,
,3/18/2013,141,146,,
,3/19/2013,162,167,,
,3/20/2013,186,183,,
,3/21/2013,238,227,,
,3/22/2013,270,237,,
,3/23/2013,337,325,,
,3/24/2013,174,219,,
,3/25/2013,111,100,,
,3/26/2013,197,187,,
,3/27/2013,218,214,,
,3/28/2013,240,234,,
,3/29/2013,260,228,,
,3/30/2013,306,311,,
,3/31/2013,241,281,,
,4/1/2013,145,142,,
,4/2/2013,194,193,,
,4/3/2013,208,207,,
,4/4/2013,242,237,,
,4/5/2013,315,274,,
,4/6/2013,397,391,,
,4/7/2013,182,233,,
,4/8/2013,129,130,,
,4/9/2013,182,184,,
,4/10/2013,243,230,,
,4/11/2013,186,192,,
,4/12/2013,247,220,,
,4/13/2013,349,313,,
,4/14/2013,133,190,,
,4/15/2013,132,131,,
,4/16/2013,200,201,,
,4/17/2013,203,203,,
,4/18/2013,197,182,,
,4/19/2013,220,194,,
,4/20/2013,351,314,,
,4/21/2013,115,176,,
,4/22/2013,129,129,,
,4/23/2013,166,165,,
,4/24/2013,213,216,,
,4/25/2013,210,205,,
,4/26/2013,252,224,,
,4/27/2013,323,231,,
,4/28/2013,112,156,,
,4/29/2013,122,125,,
,4/30/2013,229,226,,
,5/1/2013,260,256,,
,5/2/2013,271,261,,
,5/3/2013,264,241,,
,5/4/2013,301,286,,
,5/5/2013,184,214,,
,5/6/2013,158,164,,
,5/7/2013,190,194,,
,5/8/2013,235,224,,
,5/9/2013,203,195,,
,5/10/2013,236,227,,
,5/11/2013,232,231,,
,5/12/2013,106,127,,
,5/13/2013,132,131,,
,5/14/2013,221,217,,
,5/15/2013,213,209,,
,5/16/2013,285,275,,
,5/17/2013,302,279,,
,5/18/2013,334,314,,
,5/19/2013,136,174,,
,5/20/2013,136,148,,
,5/21/2013,175,176,,
,5/22/2013,226,217,,
,5/23/2013,251,245,,
,5/24/2013,242,221,,
,5/25/2013,240,232,,
,5/26/2013,118,142,,
,5/27/2013,77,88,,
,5/28/2013,196,191,,
,5/29/2013,228,227,,
,5/30/2013,232,227,,
,5/31/2013,260,220,,
