Garage entries-exits by garage,,,,,
Facility Name,Lombard Street Garage,Off Street Parking ID,938,Parking Management District,Marina
Usage Type,Date,Total Entries,Total Exits,,
,11/9/2011,93,95,,
,11/10/2011,105,96,,
,11/11/2011,80,81,,
,11/12/2011,35,43,,
,11/13/2011,30,24,,
,11/14/2011,88,89,,
,11/15/2011,96,102,,
,11/16/2011,93,83,,
,11/17/2011,99,104,,
,11/18/2011,91,95,,
,11/19/2011,46,47,,
,11/20/2011,34,32,,
,11/21/2011,93,96,,
,11/22/2011,89,87,,
,11/23/2011,71,92,,
,11/24/2011,0,0,,
,11/25/2011,32,24,,
,11/26/2011,29,25,,
,11/27/2011,24,20,,
,11/28/2011,96,90,,
,11/29/2011,97,97,,
,11/30/2011,89,90,,
,12/1/2011,100,96,,
,12/2/2011,88,91,,
,12/3/2011,35,36,,
,12/4/2011,19,19,,
,12/5/2011,91,90,,
,12/6/2011,89,88,,
,12/7/2011,93,93,,
,12/8/2011,93,92,,
,12/9/2011,92,91,,
,12/10/2011,37,46,,
,12/11/2011,25,18,,
,12/12/2011,96,96,,
,12/13/2011,97,93,,
,12/14/2011,107,108,,
,12/15/2011,101,101,,
,12/16/2011,95,91,,
,12/17/2011,45,52,,
,12/18/2011,24,26,,
,12/19/2011,82,83,,
,12/20/2011,91,88,,
,12/21/2011,83,82,,
,12/22/2011,91,88,,
,12/23/2011,30,62,,
,12/24/2011,9,19,,
,12/25/2011,0,1,,
,12/26/2011,18,12,,
,12/27/2011,68,62,,
,12/28/2011,70,73,,
,12/29/2011,73,71,,
,12/30/2011,50,53,,
,12/31/2011,23,23,,
,1/1/2012,1,0,,
,1/2/2012,37,35,,
,1/3/2012,74,72,,
,1/4/2012,86,79,,
,1/5/2012,83,88,,
,1/6/2012,85,83,,
,1/7/2012,43,46,,
,1/8/2012,31,28,,
,1/9/2012,88,90,,
,1/10/2012,81,79,,
,1/11/2012,60,74,,
,1/12/2012,91,86,,
,1/13/2012,92,88,,
,1/14/2012,29,33,,
,1/15/2012,21,17,,
,1/16/2012,45,42,,
,1/17/2012,85,89,,
,1/18/2012,92,86,,
,1/19/2012,85,85,,
,1/20/2012,79,80,,
,1/21/2012,22,27,,
,1/22/2012,29,19,,
,1/23/2012,85,90,,
,1/24/2012,89,86,,
,1/25/2012,92,96,,
,1/26/2012,95,92,,
,1/27/2012,96,96,,
,1/28/2012,47,42,,
,1/29/2012,26,32,,
,1/30/2012,93,90,,
,1/31/2012,99,101,,
,2/1/2012,88,88,,
,2/2/2012,95,89,,
,2/3/2012,90,92,,
,2/4/2012,41,46,,
,2/5/2012,23,21,,
,2/6/2012,89,89,,
,2/7/2012,95,94,,
,2/8/2012,95,92,,
,2/9/2012,99,99,,
,2/10/2012,92,95,,
,2/11/2012,40,41,,
,2/12/2012,30,27,,
,2/13/2012,104,102,,
,2/14/2012,92,92,,
,2/15/2012,95,96,,
,2/16/2012,92,92,,
,2/17/2012,87,90,,
,2/18/2012,35,41,,
,2/19/2012,24,20,,
,2/20/2012,49,45,,
,2/21/2012,93,87,,
,2/22/2012,86,90,,
,2/23/2012,93,89,,
,2/24/2012,90,93,,
,2/25/2012,45,50,,
,2/26/2012,28,26,,
,2/27/2012,89,84,,
,2/28/2012,96,97,,
,2/29/2012,96,95,,
,3/1/2012,89,90,,
,3/2/2012,97,97,,
,3/3/2012,33,36,,
,3/4/2012,38,31,,
,3/5/2012,91,91,,
,3/6/2012,90,90,,
,3/7/2012,84,86,,
,3/8/2012,96,96,,
,3/9/2012,90,93,,
,3/10/2012,45,51,,
,3/11/2012,31,26,,
,3/12/2012,92,91,,
,3/13/2012,92,91,,
,3/14/2012,83,80,,
,3/15/2012,89,90,,
,3/16/2012,82,83,,
,3/17/2012,42,41,,
,3/18/2012,25,30,,
,3/19/2012,99,99,,
,3/20/2012,90,89,,
,3/21/2012,95,91,,
,3/22/2012,100,102,,
,3/23/2012,83,86,,
,3/24/2012,35,41,,
,3/25/2012,29,26,,
,3/26/2012,85,85,,
,3/27/2012,85,83,,
,3/28/2012,81,79,,
,3/29/2012,84,88,,
,3/30/2012,86,86,,
,3/31/2012,35,39,,
,4/1/2012,27,21,,
,4/2/2012,94,91,,
,4/3/2012,95,98,,
,4/4/2012,92,88,,
,4/5/2012,95,92,,
,4/6/2012,82,88,,
