Garage entries-exits by garage,,,,,
Facility Name,Moscone Center Garage,Off Street Parking ID,941,Parking Management District,Downtown
Usage Type,Date,Total Entries,Total Exits,,
,11/9/2011,142,144,,
,11/10/2011,144,141,,
,11/11/2011,120,116,,
,11/12/2011,23,21,,
,11/13/2011,9,14,,
,11/14/2011,147,147,,
,11/15/2011,141,142,,
,11/16/2011,146,146,,
,11/17/2011,160,164,,
,11/18/2011,139,129,,
,11/19/2011,28,34,,
,11/20/2011,18,20,,
,11/21/2011,137,139,,
,11/22/2011,136,137,,
,11/23/2011,111,109,,
,11/24/2011,10,10,,
,11/25/2011,41,36,,
,11/26/2011,20,24,,
,11/27/2011,16,18,,
,11/28/2011,138,138,,
,11/29/2011,140,138,,
,11/30/2011,162,163,,
,12/1/2011,149,149,,
,12/2/2011,136,132,,
,12/3/2011,27,28,,
,12/4/2011,21,26,,
,12/5/2011,136,137,,
,12/6/2011,145,147,,
,12/7/2011,144,141,,
,12/8/2011,144,144,,
,12/9/2011,130,122,,
,12/10/2011,24,28,,
,12/11/2011,10,16,,
,12/12/2011,149,143,,
,12/13/2011,142,145,,
,12/14/2011,144,144,,
,12/15/2011,151,146,,
,12/16/2011,150,145,,
,12/17/2011,29,30,,
,12/18/2011,17,25,,
,12/19/2011,151,150,,
,12/20/2011,151,147,,
,12/21/2011,139,145,,
,12/22/2011,125,121,,
,12/23/2011,84,84,,
,12/24/2011,15,16,,
,12/25/2011,0,0,,
,12/26/2011,12,12,,
,12/27/2011,76,78,,
,12/28/2011,84,85,,
,12/29/2011,94,96,,
,12/30/2011,67,63,,
,12/31/2011,16,17,,
,1/1/2012,6,10,,
,1/2/2012,23,22,,
,1/3/2012,137,134,,
,1/4/2012,131,133,,
,1/5/2012,147,147,,
,1/6/2012,139,134,,
,1/7/2012,22,19,,
,1/8/2012,7,13,,
,1/9/2012,142,145,,
,1/10/2012,146,146,,
,1/11/2012,136,136,,
,1/12/2012,146,146,,
,1/13/2012,134,128,,
,1/14/2012,28,32,,
,1/15/2012,17,22,,
,1/16/2012,79,77,,
,1/17/2012,138,138,,
,1/18/2012,134,134,,
,1/19/2012,140,141,,
,1/20/2012,128,128,,
,1/21/2012,30,26,,
,1/22/2012,9,12,,
,1/23/2012,138,140,,
,1/24/2012,137,137,,
,1/25/2012,139,137,,
,1/26/2012,145,143,,
,1/27/2012,129,128,,
,1/28/2012,22,25,,
,1/29/2012,11,14,,
,1/30/2012,143,141,,
,1/31/2012,150,148,,
,2/1/2012,148,148,,
,2/2/2012,156,155,,
,2/3/2012,145,143,,
,2/4/2012,30,32,,
,2/5/2012,16,19,,
,2/6/2012,151,153,,
,2/7/2012,173,172,,
,2/8/2012,150,152,,
,2/9/2012,147,146,,
,2/10/2012,160,153,,
,2/11/2012,33,36,,
,2/12/2012,16,21,,
,2/13/2012,140,139,,
,2/14/2012,153,148,,
,2/15/2012,148,147,,
,2/16/2012,152,153,,
,2/17/2012,148,147,,
,2/18/2012,29,29,,
,2/19/2012,16,22,,
,2/20/2012,59,57,,
,2/21/2012,144,141,,
,2/22/2012,133,136,,
,2/23/2012,150,149,,
,2/24/2012,146,144,,
,2/25/2012,25,22,,
,2/26/2012,17,25,,
,2/27/2012,158,156,,
,2/28/2012,146,145,,
,2/29/2012,158,158,,
,3/1/2012,158,159,,
,3/2/2012,144,137,,
,3/3/2012,34,33,,
,3/4/2012,18,21,,
,3/5/2012,162,161,,
,3/6/2012,153,154,,
,3/7/2012,151,153,,
,3/8/2012,149,150,,
,3/9/2012,162,153,,
,3/10/2012,27,31,,
,3/11/2012,13,17,,
,3/12/2012,150,153,,
,3/13/2012,160,157,,
,3/14/2012,145,148,,
,3/15/2012,152,146,,
,3/16/2012,132,129,,
,3/17/2012,26,24,,
,3/18/2012,14,18,,
,3/19/2012,147,149,,
,3/20/2012,149,148,,
,3/21/2012,150,147,,
,3/22/2012,157,160,,
,3/23/2012,143,141,,
,3/24/2012,23,26,,
