Garage entries-exits by garage,,,,,
Facility Name,Moscone Center Garage,Off Street Parking ID,941,Parking Management District,Downtown
Usage Type,Date,Total Entries,Total Exits,,
,9/25/2011,89,119,,
,9/26/2011,266,256,,
,9/27/2011,295,290,,
,9/28/2011,337,328,,
,9/29/2011,315,311,,
,9/30/2011,435,411,,
,10/1/2011,270,256,,
,10/2/2011,527,528,,
,10/3/2011,849,801,,
,10/4/2011,814,784,,
,10/5/2011,943,855,,
,10/6/2011,628,671,,
,10/7/2011,337,310,,
,10/8/2011,179,168,,
,10/9/2011,76,98,,
,10/10/2011,220,215,,
,10/11/2011,258,249,,
,10/12/2011,444,439,,
,10/13/2011,458,446,,
,10/14/2011,420,393,,
,10/15/2011,467,429,,
,10/16/2011,282,325,,
,10/17/2011,399,388,,
,10/18/2011,378,368,,
,10/19/2011,382,370,,
,10/20/2011,426,417,,
,10/21/2011,395,369,,
,10/22/2011,307,272,,
,10/23/2011,237,273,,
,10/24/2011,477,435,,
,10/25/2011,424,406,,
,10/26/2011,496,474,,
,10/27/2011,449,436,,
,10/28/2011,308,242,,
,10/29/2011,215,154,,
,10/30/2011,123,186,,
,10/31/2011,240,228,,
,11/1/2011,352,339,,
,11/2/2011,458,437,,
,11/3/2011,549,521,,
,11/4/2011,474,456,,
,11/5/2011,367,341,,
,11/6/2011,241,263,,
,11/7/2011,528,510,,
,11/8/2011,675,648,,
,11/9/2011,584,559,,
,11/10/2011,645,630,,
,11/11/2011,583,568,,
,11/12/2011,345,320,,
,11/13/2011,155,176,,
,11/14/2011,301,292,,
,11/15/2011,361,352,,
,11/16/2011,387,380,,
,11/17/2011,506,477,,
,11/18/2011,652,617,,
,11/19/2011,946,895,,
,11/20/2011,945,972,,
,11/21/2011,700,679,,
,11/22/2011,684,668,,
,11/23/2011,689,671,,
,11/24/2011,532,512,,
,11/25/2011,"1,486","1,434",,
,11/26/2011,"1,359","1,311",,
,11/27/2011,745,744,,
,11/28/2011,238,242,,
,11/29/2011,358,346,,
,11/30/2011,359,341,,
,12/1/2011,491,479,,
,12/2/2011,493,457,,
,12/3/2011,397,355,,
,12/4/2011,230,278,,
,12/5/2011,396,376,,
,12/6/2011,525,509,,
,12/7/2011,604,584,,
,12/8/2011,678,653,,
,12/9/2011,589,553,,
,12/10/2011,435,397,,
,12/11/2011,236,296,,
,12/12/2011,319,306,,
,12/13/2011,388,379,,
,12/14/2011,482,465,,
,12/15/2011,498,483,,
,12/16/2011,535,473,,
,12/17/2011,526,488,,
,12/18/2011,279,323,,
,12/19/2011,321,305,,
,12/20/2011,414,401,,
,12/21/2011,412,385,,
,12/22/2011,347,330,,
,12/23/2011,343,324,,
,12/24/2011,134,149,,
,12/25/2011,0,0,,
,12/26/2011,250,228,,
,12/27/2011,276,261,,
,12/28/2011,254,236,,
,12/29/2011,379,366,,
,12/30/2011,383,356,,
,12/31/2011,246,148,,
,1/1/2012,50,158,,
,1/2/2012,140,136,,
,1/3/2012,289,271,,
,1/4/2012,244,236,,
,1/5/2012,337,326,,
,1/6/2012,347,329,,
,1/7/2012,255,230,,
,1/8/2012,146,167,,
,1/9/2012,280,271,,
,1/10/2012,351,336,,
,1/11/2012,404,393,,
,1/12/2012,513,490,,
,1/13/2012,590,555,,
,1/14/2012,494,453,,
,1/15/2012,959,950,,
,1/16/2012,979,818,,
,1/17/2012,895,862,,
,1/18/2012,430,414,,
,1/19/2012,468,451,,
,1/20/2012,557,528,,
,1/21/2012,633,564,,
,1/22/2012,357,405,,
,1/23/2012,619,596,,
,1/24/2012,872,845,,
,1/25/2012,921,906,,
,1/26/2012,987,963,,
,1/27/2012,638,608,,
,1/28/2012,454,426,,
,1/29/2012,152,183,,
,1/30/2012,334,330,,
,1/31/2012,400,392,,
,2/1/2012,437,423,,
,2/2/2012,527,511,,
,2/3/2012,460,430,,
,2/4/2012,314,303,,
,2/5/2012,118,139,,
,2/6/2012,441,432,,
,2/7/2012,750,741,,
,2/8/2012,874,854,,
,2/9/2012,964,940,,
,2/10/2012,965,916,,
,2/11/2012,791,704,,
,2/12/2012,203,310,,
,2/13/2012,391,387,,
,2/14/2012,417,408,,
,2/15/2012,508,499,,
,2/16/2012,685,674,,
,2/17/2012,589,561,,
,2/18/2012,787,739,,
,2/19/2012,671,680,,
,2/20/2012,831,819,,
,2/21/2012,855,836,,
,2/22/2012,580,574,,
,2/23/2012,656,636,,
,2/24/2012,564,537,,
,2/25/2012,367,339,,
,2/26/2012,216,257,,
,2/27/2012,811,791,,
,2/28/2012,872,845,,
,2/29/2012,937,908,,
,3/1/2012,941,925,,
,3/2/2012,549,528,,
,3/3/2012,280,249,,
,3/4/2012,176,218,,
,3/5/2012,508,487,,
,3/6/2012,786,760,,
,3/7/2012,980,945,,
,3/8/2012,"1,014",992,,
,3/9/2012,835,798,,
,3/10/2012,297,286,,
,3/11/2012,181,200,,
,3/12/2012,499,488,,
,3/13/2012,616,602,,
,3/14/2012,633,618,,
,3/15/2012,"1,007",976,,
,3/16/2012,575,558,,
,3/17/2012,353,339,,
,3/18/2012,176,198,,
,3/19/2012,394,382,,
,3/20/2012,507,503,,
,3/21/2012,554,545,,
,3/22/2012,611,598,,
,3/23/2012,570,544,,
,3/24/2012,366,341,,
,3/25/2012,232,260,,
,3/26/2012,482,468,,
,3/27/2012,580,564,,
,3/28/2012,712,699,,
,3/29/2012,639,621,,
,3/30/2012,550,508,,
,3/31/2012,385,363,,
,4/1/2012,132,188,,
,4/2/2012,446,429,,
,4/3/2012,844,824,,
,4/4/2012,796,771,,
,4/5/2012,557,549,,
,4/6/2012,467,434,,
,4/7/2012,173,166,,
,4/8/2012,68,93,,
,4/9/2012,409,400,,
,4/10/2012,489,477,,
,4/11/2012,515,506,,
,4/12/2012,578,551,,
,4/13/2012,583,545,,
,4/14/2012,359,331,,
,4/15/2012,182,234,,
,4/16/2012,440,432,,
,4/17/2012,520,513,,
,4/18/2012,595,574,,
,4/19/2012,595,576,,
,4/20/2012,575,527,,
,4/21/2012,340,325,,
,4/22/2012,192,216,,
,4/23/2012,483,476,,
,4/24/2012,554,546,,
,4/25/2012,837,774,,
,4/26/2012,577,588,,
,4/27/2012,563,538,,
,4/28/2012,345,331,,
,4/29/2012,147,180,,
,4/30/2012,500,492,,
,5/1/2012,630,616,,
,5/2/2012,569,552,,
,5/3/2012,754,738,,
,5/4/2012,568,528,,
,5/5/2012,352,335,,
,5/6/2012,212,237,,
,5/7/2012,493,471,,
,5/8/2012,593,584,,
,5/9/2012,687,668,,
,5/10/2012,640,625,,
,5/11/2012,554,535,,
,5/12/2012,217,209,,
,5/13/2012,231,250,,
,5/14/2012,504,483,,
,5/15/2012,773,756,,
,5/16/2012,581,563,,
,5/17/2012,723,707,,
,5/18/2012,640,608,,
,5/19/2012,329,306,,
,5/20/2012,171,208,,
,5/21/2012,654,640,,
,5/22/2012,630,609,,
,5/23/2012,634,617,,
,5/24/2012,645,629,,
,5/25/2012,441,431,,
,5/26/2012,244,210,,
,5/27/2012,96,135,,
,5/28/2012,119,116,,
,5/29/2012,473,454,,
,5/30/2012,665,648,,
,5/31/2012,679,655,,
,6/1/2012,671,637,,
,6/2/2012,253,252,,
,6/3/2012,228,241,,
,6/4/2012,812,793,,
,6/5/2012,874,842,,
,6/6/2012,828,818,,
,6/7/2012,606,593,,
,6/8/2012,500,472,,
,6/9/2012,271,272,,
,6/10/2012,290,302,,
,6/11/2012,452,444,,
,6/12/2012,520,516,,
,6/13/2012,624,617,,
,6/14/2012,772,765,,
,6/15/2012,601,576,,
,6/16/2012,333,328,,
,6/17/2012,212,231,,
,6/18/2012,562,551,,
,6/19/2012,626,620,,
,6/20/2012,511,498,,
,6/21/2012,640,633,,
,6/22/2012,531,501,,
,6/23/2012,287,282,,
,6/24/2012,250,262,,
,6/25/2012,463,459,,
,6/26/2012,667,647,,
,6/27/2012,932,905,,
,6/28/2012,"1,098","1,070",,
,6/29/2012,693,650,,
,6/30/2012,355,348,,
,7/1/2012,179,216,,
,7/2/2012,373,353,,
,7/3/2012,462,464,,
,7/4/2012,76,72,,
,7/5/2012,484,463,,
,7/6/2012,484,462,,
,7/7/2012,268,262,,
,7/8/2012,122,144,,
,7/9/2012,659,638,,
,7/10/2012,878,846,,
,7/11/2012,941,921,,
,7/12/2012,998,986,,
,7/13/2012,741,720,,
,7/14/2012,318,289,,
,7/15/2012,150,184,,
,7/16/2012,410,395,,
,7/17/2012,488,473,,
,7/18/2012,500,493,,
,7/19/2012,550,541,,
,7/20/2012,536,507,,
,7/21/2012,314,278,,
,7/22/2012,275,300,,
,7/23/2012,483,451,,
,7/24/2012,523,492,,
,7/25/2012,570,552,,
,7/26/2012,663,652,,
,7/27/2012,546,516,,
,7/28/2012,303,287,,
,7/29/2012,195,224,,
,7/30/2012,394,389,,
,7/31/2012,512,497,,
,8/1/2012,522,506,,
,8/2/2012,743,732,,
,8/3/2012,691,644,,
,8/4/2012,805,764,,
,8/5/2012,661,687,,
,8/6/2012,822,798,,
,8/7/2012,931,920,,
,8/8/2012,499,482,,
,8/9/2012,563,555,,
,8/10/2012,438,408,,
,8/11/2012,340,348,,
,8/12/2012,163,175,,
,8/13/2012,399,389,,
,8/14/2012,521,507,,
,8/15/2012,554,539,,
,8/16/2012,587,576,,
,8/17/2012,514,485,,
,8/18/2012,284,277,,
,8/19/2012,207,229,,
,8/20/2012,452,445,,
,8/21/2012,463,448,,
,8/22/2012,542,525,,
,8/23/2012,644,620,,
,8/24/2012,670,638,,
,8/25/2012,326,321,,
,8/26/2012,524,525,,
,8/27/2012,770,745,,
,8/28/2012,823,791,,
,8/29/2012,874,852,,
,8/30/2012,773,764,,
,8/31/2012,470,445,,
,9/1/2012,237,229,,
,9/2/2012,149,164,,
,9/3/2012,150,149,,
,9/4/2012,518,501,,
,9/5/2012,518,508,,
,9/6/2012,610,598,,
,9/7/2012,557,528,,
,9/8/2012,286,272,,
,9/9/2012,211,233,,
,9/10/2012,567,549,,
,9/11/2012,739,720,,
,9/12/2012,809,788,,
,9/13/2012,762,750,,
,9/14/2012,573,523,,
,9/15/2012,402,360,,
,9/16/2012,189,250,,
,9/17/2012,536,519,,
,9/18/2012,995,965,,
,9/19/2012,957,914,,
,9/20/2012,957,927,,
,9/21/2012,880,841,,
,9/22/2012,328,300,,
,9/23/2012,230,277,,
,9/24/2012,485,470,,
,9/25/2012,540,522,,
,9/26/2012,554,546,,
,9/27/2012,782,763,,
,9/28/2012,560,536,,
,9/29/2012,380,367,,
,9/30/2012,565,566,,
,10/1/2012,865,814,,
,10/2/2012,897,874,,
,10/3/2012,963,909,,
,10/4/2012,868,868,,
,10/5/2012,488,476,,
,10/6/2012,190,190,,
,10/7/2012,126,140,,
,10/8/2012,531,523,,
,10/9/2012,520,515,,
,10/10/2012,500,492,,
,10/11/2012,600,593,,
,10/12/2012,554,528,,
,10/13/2012,277,270,,
,10/14/2012,169,184,,
,10/15/2012,493,488,,
,10/16/2012,520,505,,
,10/17/2012,653,633,,
,10/18/2012,886,857,,
,10/19/2012,945,894,,
,10/20/2012,978,951,,
,10/21/2012,308,333,,
,10/22/2012,558,541,,
,10/23/2012,542,535,,
,10/24/2012,775,745,,
,10/25/2012,789,772,,
,10/26/2012,673,625,,
,10/27/2012,549,506,,
,10/28/2012,456,499,,
,10/29/2012,665,646,,
,10/30/2012,631,617,,
,10/31/2012,659,640,,
,11/1/2012,582,574,,
,11/2/2012,528,507,,
,11/3/2012,337,320,,
,11/4/2012,139,168,,
,11/5/2012,491,482,,
,11/6/2012,616,597,,
,11/7/2012,753,725,,
,11/8/2012,859,841,,
,11/9/2012,855,808,,
,11/10/2012,551,504,,
,11/11/2012,208,255,,
,11/12/2012,536,523,,
,11/13/2012,794,777,,
,11/14/2012,986,955,,
,11/15/2012,"1,042","1,018",,
,11/16/2012,683,641,,
,11/17/2012,418,403,,
,11/18/2012,218,249,,
,11/19/2012,498,480,,
,11/20/2012,555,545,,
,11/21/2012,713,695,,
,11/22/2012,689,680,,
,11/23/2012,"1,695","1,632",,
,11/24/2012,"1,729","1,665",,
,11/25/2012,"1,260","1,268",,
,11/26/2012,876,811,,
,11/27/2012,550,582,,
,11/28/2012,617,596,,
,11/29/2012,688,675,,
,11/30/2012,722,684,,
,12/1/2012,584,546,,
,12/2/2012,376,420,,
,12/3/2012,647,626,,
,12/4/2012,883,854,,
,12/5/2012,716,700,,
,12/6/2012,918,895,,
,12/7/2012,899,817,,
,12/8/2012,663,652,,
,12/9/2012,265,328,,
,12/10/2012,489,471,,
,12/11/2012,636,621,,
,12/12/2012,671,656,,
,12/13/2012,807,785,,
,12/14/2012,844,786,,
,12/15/2012,844,826,,
,12/16/2012,471,509,,
,12/17/2012,676,661,,
,12/18/2012,960,924,,
,12/19/2012,720,703,,
,12/20/2012,699,681,,
,12/21/2012,680,651,,
,12/22/2012,497,484,,
,12/23/2012,242,274,,
,12/24/2012,194,194,,
,12/25/2012,0,1,,
,12/26/2012,364,347,,
,12/27/2012,574,559,,
,12/28/2012,548,516,,
,12/29/2012,412,378,,
,12/30/2012,210,249,,
,12/31/2012,387,246,,
,1/1/2013,79,211,,
,1/2/2013,371,359,,
,1/3/2013,496,488,,
,1/4/2013,514,477,,
,1/5/2013,306,297,,
,1/6/2013,186,197,,
,1/7/2013,440,423,,
,1/8/2013,516,500,,
,1/9/2013,545,534,,
,1/10/2013,634,622,,
,1/11/2013,675,628,,
,1/12/2013,289,245,,
,1/13/2013,163,210,,
,1/14/2013,455,445,,
,1/15/2013,516,498,,
,1/16/2013,535,511,,
,1/17/2013,721,706,,
,1/18/2013,751,706,,
,1/19/2013,788,702,,
,1/20/2013,973,987,,
,1/21/2013,917,891,,
,1/22/2013,902,865,,
,1/23/2013,554,540,,
,1/24/2013,705,690,,
,1/25/2013,659,613,,
,1/26/2013,463,407,,
,1/27/2013,204,264,,
,1/28/2013,450,430,,
,1/29/2013,516,499,,
,1/30/2013,534,507,,
,1/31/2013,873,851,,
,2/1/2013,913,884,,
,2/2/2013,946,911,,
,2/3/2013,347,370,,
,2/4/2013,778,756,,
,2/5/2013,840,830,,
,2/6/2013,952,936,,
,2/7/2013,"1,056","1,031",,
,2/8/2013,715,686,,
,2/9/2013,293,278,,
,2/10/2013,177,211,,
,2/11/2013,553,543,,
,2/12/2013,634,613,,
,2/13/2013,818,795,,
,2/14/2013,971,932,,
,2/15/2013,825,795,,
,2/16/2013,"1,005",893,,
,2/17/2013,830,847,,
,2/18/2013,839,824,,
,2/19/2013,921,900,,
,2/20/2013,629,616,,
,2/21/2013,741,727,,
,2/22/2013,695,661,,
,2/23/2013,601,555,,
,2/24/2013,282,333,,
,2/25/2013,"1,010",977,,
,2/26/2013,938,914,,
,2/27/2013,923,895,,
,2/28/2013,942,930,,
,3/1/2013,713,673,,
,3/2/2013,345,316,,
,3/3/2013,131,177,,
,3/4/2013,459,444,,
,3/5/2013,593,584,,
,3/6/2013,655,640,,
,3/7/2013,805,784,,
,3/8/2013,668,639,,
,3/9/2013,484,468,,
,3/10/2013,368,383,,
,3/11/2013,689,676,,
,3/12/2013,641,621,,
,3/13/2013,583,572,,
,3/14/2013,651,639,,
,3/15/2013,671,624,,
,3/16/2013,353,339,,
,3/17/2013,164,198,,
,3/18/2013,531,514,,
,3/19/2013,658,638,,
,3/20/2013,720,700,,
,3/21/2013,722,704,,
,3/22/2013,676,619,,
,3/23/2013,395,409,,
,3/24/2013,230,258,,
,3/25/2013,653,595,,
,3/26/2013,869,839,,
,3/27/2013,961,928,,
,3/28/2013,998,967,,
,3/29/2013,936,895,,
,3/30/2013,292,272,,
,3/31/2013,108,155,,
,4/1/2013,535,513,,
,4/2/2013,743,729,,
,4/3/2013,680,662,,
,4/4/2013,912,888,,
,4/5/2013,992,941,,
,4/6/2013,714,702,,
,4/7/2013,174,215,,
,4/8/2013,550,537,,
,4/9/2013,940,910,,
,4/10/2013,971,948,,
,4/11/2013,834,820,,
,4/12/2013,733,699,,
,4/13/2013,371,350,,
,4/14/2013,156,194,,
,4/15/2013,548,534,,
,4/16/2013,658,644,,
,4/17/2013,665,648,,
,4/18/2013,763,744,,
,4/19/2013,829,775,,
,4/20/2013,578,566,,
,4/21/2013,288,319,,
,4/22/2013,672,655,,
,4/23/2013,764,746,,
,4/24/2013,949,926,,
,4/25/2013,749,738,,
,4/26/2013,687,648,,
,4/27/2013,435,418,,
,4/28/2013,364,391,,
,4/29/2013,642,625,,
,4/30/2013,851,831,,
,5/1/2013,667,662,,
,5/2/2013,733,718,,
,5/3/2013,682,641,,
,5/4/2013,378,355,,
,5/5/2013,270,308,,
,5/6/2013,529,520,,
,5/7/2013,655,647,,
,5/8/2013,730,706,,
,5/9/2013,737,718,,
,5/10/2013,771,728,,
,5/11/2013,383,377,,
,5/12/2013,213,251,,
,5/13/2013,543,528,,
,5/14/2013,736,712,,
,5/15/2013,766,738,,
,5/16/2013,974,955,,
,5/17/2013,869,822,,
,5/18/2013,552,519,,
,5/19/2013,275,321,,
,5/20/2013,666,636,,
,5/21/2013,831,800,,
,5/22/2013,796,779,,
,5/23/2013,948,920,,
,5/24/2013,626,580,,
,5/25/2013,376,343,,
,5/26/2013,221,276,,
,5/27/2013,258,261,,
,5/28/2013,612,593,,
,5/29/2013,744,726,,
,5/30/2013,"1,043","1,017",,
,5/31/2013,943,887,,
