Garage entries-exits by garage,,,,,
Facility Name,Ellis OFarrell Garage,Off Street Parking ID,932,Parking Management District,Downtown
Usage Type,Date,Total Entries,Total Exits,,
,11/9/2011,164,169,,
,11/10/2011,163,165,,
,11/11/2011,147,152,,
,11/12/2011,76,78,,
,11/13/2011,46,46,,
,11/14/2011,170,173,,
,11/15/2011,180,178,,
,11/16/2011,182,183,,
,11/17/2011,166,167,,
,11/18/2011,168,172,,
,11/19/2011,82,82,,
,11/20/2011,54,51,,
,11/21/2011,173,182,,
,11/22/2011,154,152,,
,11/23/2011,150,156,,
,11/24/2011,1,0,,
,11/25/2011,82,79,,
,11/26/2011,83,83,,
,11/27/2011,39,41,,
,11/28/2011,162,163,,
,11/29/2011,173,172,,
,11/30/2011,171,177,,
,12/1/2011,167,166,,
,12/2/2011,144,164,,
,12/3/2011,85,85,,
,12/4/2011,49,50,,
,12/5/2011,168,176,,
,12/6/2011,170,171,,
,12/7/2011,175,175,,
,12/8/2011,164,164,,
,12/9/2011,169,173,,
,12/10/2011,80,82,,
,12/11/2011,53,56,,
,12/12/2011,183,184,,
,12/13/2011,172,173,,
,12/14/2011,174,171,,
,12/15/2011,178,176,,
,12/16/2011,165,168,,
,12/17/2011,79,77,,
,12/18/2011,62,62,,
,12/19/2011,169,174,,
,12/20/2011,158,157,,
,12/21/2011,172,168,,
,12/22/2011,145,153,,
,12/23/2011,128,134,,
,12/24/2011,54,57,,
,12/25/2011,0,1,,
,12/26/2011,78,73,,
,12/27/2011,118,122,,
,12/28/2011,116,116,,
,12/29/2011,110,111,,
,12/30/2011,112,112,,
,12/31/2011,62,64,,
,1/1/2012,32,31,,
,1/2/2012,53,56,,
,1/3/2012,127,149,,
,1/4/2012,159,165,,
,1/5/2012,163,168,,
,1/6/2012,151,158,,
,1/7/2012,73,72,,
,1/8/2012,50,48,,
,1/9/2012,159,159,,
,1/10/2012,169,169,,
,1/11/2012,156,153,,
,1/12/2012,160,162,,
,1/13/2012,142,145,,
,1/14/2012,77,75,,
,1/15/2012,38,37,,
,1/16/2012,116,117,,
,1/17/2012,169,170,,
,1/18/2012,164,164,,
,1/19/2012,151,150,,
,1/20/2012,169,171,,
,1/21/2012,69,72,,
,1/22/2012,38,35,,
,1/23/2012,144,153,,
,1/24/2012,159,160,,
,1/25/2012,165,163,,
,1/26/2012,171,169,,
,1/27/2012,160,166,,
,1/28/2012,88,93,,
,1/29/2012,53,49,,
,1/30/2012,147,149,,
,1/31/2012,163,164,,
,2/1/2012,162,165,,
,2/2/2012,154,155,,
,2/3/2012,151,155,,
,2/4/2012,70,74,,
,2/5/2012,34,32,,
,2/6/2012,136,138,,
,2/7/2012,162,161,,
,2/8/2012,160,161,,
,2/9/2012,157,153,,
,2/10/2012,154,154,,
,2/11/2012,70,73,,
,2/12/2012,49,49,,
,2/13/2012,158,164,,
,2/14/2012,161,158,,
,2/15/2012,156,156,,
,2/16/2012,160,161,,
,2/17/2012,152,144,,
,2/18/2012,62,68,,
,2/19/2012,52,53,,
,2/20/2012,84,86,,
,2/21/2012,156,158,,
,2/22/2012,154,153,,
,2/23/2012,151,150,,
,2/24/2012,151,157,,
,2/25/2012,75,77,,
,2/26/2012,39,40,,
,2/27/2012,162,160,,
,2/28/2012,166,169,,
,2/29/2012,176,175,,
,3/1/2012,171,177,,
,3/2/2012,168,170,,
,3/3/2012,76,81,,
,3/4/2012,56,53,,
,3/5/2012,166,165,,
,3/6/2012,168,168,,
,3/7/2012,163,169,,
,3/8/2012,171,174,,
,3/9/2012,174,173,,
,3/10/2012,84,83,,
,3/11/2012,54,60,,
,3/12/2012,169,172,,
,3/13/2012,167,165,,
,3/14/2012,153,161,,
,3/15/2012,164,158,,
,3/16/2012,164,164,,
,3/17/2012,75,81,,
,3/18/2012,57,56,,
,3/19/2012,169,170,,
,3/20/2012,164,169,,
,3/21/2012,173,169,,
,3/22/2012,169,172,,
,3/23/2012,155,162,,
,3/24/2012,84,85,,
,3/25/2012,61,56,,
,3/26/2012,146,151,,
,3/27/2012,155,157,,
,3/28/2012,160,161,,
,3/29/2012,164,165,,
,3/30/2012,162,168,,
,3/31/2012,73,76,,
,4/1/2012,56,57,,
,4/2/2012,153,162,,
,4/3/2012,170,175,,
,4/4/2012,185,176,,
,4/5/2012,157,166,,
,4/6/2012,148,152,,
,4/7/2012,73,75,,
,4/8/2012,35,33,,
,4/9/2012,142,148,,
,4/10/2012,151,155,,
,4/11/2012,160,159,,
,4/12/2012,157,157,,
,4/13/2012,160,167,,
,4/14/2012,80,83,,
,4/15/2012,54,52,,
,4/16/2012,164,165,,
,4/17/2012,159,169,,
,4/18/2012,168,172,,
,4/19/2012,163,159,,
,4/20/2012,158,166,,
,4/21/2012,78,79,,
,4/22/2012,50,49,,
,4/23/2012,159,166,,
,4/24/2012,169,173,,
,4/25/2012,168,169,,
,4/26/2012,159,165,,
,4/27/2012,157,169,,
,4/28/2012,67,69,,
,4/29/2012,39,41,,
,4/30/2012,157,163,,
,5/1/2012,148,162,,
,5/2/2012,153,162,,
,5/3/2012,158,159,,
,5/4/2012,159,162,,
,5/5/2012,75,73,,
,5/6/2012,51,55,,
,5/7/2012,169,172,,
,5/8/2012,156,151,,
,5/9/2012,164,171,,
,5/10/2012,160,162,,
,5/11/2012,174,178,,
,5/12/2012,72,73,,
,5/13/2012,43,45,,
,5/14/2012,148,157,,
,5/15/2012,170,174,,
,5/16/2012,161,163,,
,5/17/2012,157,159,,
,5/18/2012,161,172,,
,5/19/2012,58,59,,
,5/20/2012,33,34,,
,5/21/2012,145,153,,
,5/22/2012,150,157,,
,5/23/2012,147,148,,
,5/24/2012,155,160,,
,5/25/2012,150,154,,
,5/26/2012,57,55,,
,5/27/2012,36,41,,
,5/28/2012,49,50,,
,5/29/2012,153,159,,
,5/30/2012,172,174,,
,5/31/2012,156,163,,
,6/1/2012,152,153,,
,6/2/2012,63,65,,
,6/3/2012,47,53,,
,6/4/2012,141,145,,
,6/5/2012,156,159,,
,6/6/2012,157,158,,
,6/7/2012,148,150,,
,6/8/2012,149,153,,
,6/9/2012,68,68,,
,6/10/2012,44,46,,
,6/11/2012,141,151,,
,6/12/2012,152,155,,
,6/13/2012,143,150,,
,6/14/2012,149,151,,
,6/15/2012,156,155,,
,6/16/2012,67,67,,
,6/17/2012,48,50,,
,6/18/2012,163,164,,
,6/19/2012,157,161,,
,6/20/2012,163,162,,
,6/21/2012,149,148,,
,6/22/2012,148,148,,
,6/23/2012,59,56,,
,6/24/2012,37,40,,
,6/25/2012,152,152,,
,6/26/2012,158,161,,
,6/27/2012,160,158,,
,6/28/2012,164,166,,
,6/29/2012,152,152,,
,6/30/2012,66,65,,
,7/1/2012,43,45,,
,7/2/2012,142,139,,
,7/3/2012,143,145,,
,7/4/2012,37,37,,
,7/5/2012,126,128,,
,7/6/2012,135,132,,
,7/7/2012,60,61,,
,7/8/2012,41,44,,
,7/9/2012,143,143,,
,7/10/2012,157,157,,
,7/11/2012,154,156,,
,7/12/2012,132,132,,
,7/13/2012,155,151,,
,7/14/2012,67,70,,
,7/15/2012,51,54,,
,7/16/2012,145,147,,
,7/17/2012,148,148,,
,7/18/2012,148,149,,
,7/19/2012,156,156,,
,7/20/2012,155,153,,
,7/21/2012,65,67,,
,7/22/2012,47,48,,
,7/23/2012,137,142,,
,7/24/2012,147,147,,
,7/25/2012,143,145,,
,7/26/2012,149,146,,
,7/27/2012,146,143,,
,7/28/2012,64,67,,
,7/29/2012,38,35,,
,7/30/2012,138,140,,
,7/31/2012,150,150,,
,8/1/2012,136,134,,
,8/2/2012,132,137,,
,8/3/2012,144,143,,
,8/4/2012,52,54,,
,8/5/2012,45,44,,
,8/6/2012,145,145,,
,8/7/2012,135,142,,
,8/8/2012,149,146,,
,8/9/2012,144,145,,
,8/10/2012,143,144,,
,8/11/2012,78,75,,
,8/12/2012,37,40,,
,8/13/2012,143,144,,
,8/14/2012,148,147,,
,8/15/2012,154,157,,
,8/16/2012,149,151,,
,8/17/2012,142,138,,
,8/18/2012,71,75,,
,8/19/2012,40,36,,
,8/20/2012,144,147,,
,8/21/2012,133,135,,
,8/22/2012,153,154,,
,8/23/2012,156,158,,
,8/24/2012,159,155,,
,8/25/2012,69,70,,
,8/26/2012,40,38,,
,8/27/2012,151,156,,
,8/28/2012,147,147,,
,8/29/2012,148,149,,
,8/30/2012,145,140,,
,8/31/2012,141,144,,
,9/1/2012,65,64,,
,9/2/2012,34,35,,
,9/3/2012,43,42,,
,9/4/2012,157,160,,
,9/5/2012,153,156,,
,9/6/2012,152,153,,
,9/7/2012,149,151,,
,9/8/2012,67,70,,
,9/9/2012,46,44,,
,9/10/2012,146,153,,
,9/11/2012,166,168,,
,9/12/2012,158,156,,
,9/13/2012,165,165,,
,9/14/2012,143,147,,
,9/15/2012,78,79,,
,9/16/2012,49,46,,
,9/17/2012,141,142,,
,9/18/2012,156,155,,
,9/19/2012,154,155,,
,9/20/2012,161,159,,
,9/21/2012,162,162,,
,9/22/2012,71,72,,
,9/23/2012,47,45,,
,9/24/2012,159,161,,
,9/25/2012,154,159,,
,9/26/2012,144,142,,
,9/27/2012,166,165,,
,9/28/2012,160,158,,
,9/29/2012,69,70,,
,9/30/2012,49,51,,
,10/1/2012,153,160,,
,10/2/2012,152,152,,
,10/3/2012,164,163,,
,10/4/2012,170,170,,
,10/5/2012,148,154,,
,10/6/2012,67,70,,
,10/7/2012,48,43,,
,10/8/2012,128,127,,
,10/9/2012,163,163,,
,10/10/2012,170,173,,
,10/11/2012,156,155,,
,10/12/2012,166,174,,
,10/13/2012,75,72,,
,10/14/2012,40,42,,
,10/15/2012,155,156,,
,10/16/2012,152,152,,
,10/17/2012,165,165,,
,10/18/2012,156,154,,
,10/19/2012,149,152,,
,10/20/2012,69,68,,
,10/21/2012,48,52,,
,10/22/2012,154,155,,
,10/23/2012,169,166,,
,10/24/2012,169,167,,
,10/25/2012,158,161,,
,10/26/2012,157,161,,
,10/27/2012,72,71,,
,10/28/2012,45,44,,
,10/29/2012,146,149,,
,10/30/2012,161,156,,
,10/31/2012,126,128,,
,11/1/2012,158,161,,
,11/2/2012,154,156,,
,11/3/2012,78,78,,
