Garage entries-exits by garage,,,,,
Facility Name,Japan Center Garage,Off Street Parking ID,935,Parking Management District,Fillmore
Usage Type,Date,Total Entries,Total Exits,,
,8/27/2011,"1,825","1,758",,
,8/28/2011,"1,333","1,367",,
,8/29/2011,741,701,,
,8/30/2011,723,710,,
,8/31/2011,702,667,,
,9/1/2011,752,728,,
,9/2/2011,"1,173","1,077",,
,9/3/2011,"1,817","1,724",,
,9/4/2011,"1,609","1,570",,
,9/5/2011,"1,041","1,037",,
,9/6/2011,620,576,,
,9/7/2011,679,638,,
,9/8/2011,862,811,,
,9/9/2011,"1,310","1,211",,
,9/10/2011,"2,119","2,020",,
,9/11/2011,"1,126","1,187",,
,9/12/2011,778,760,,
,9/13/2011,744,702,,
,9/14/2011,695,671,,
,9/15/2011,824,778,,
,9/16/2011,"1,344","1,246",,
,9/17/2011,"1,956","1,847",,
,9/18/2011,"1,110","1,175",,
,9/19/2011,655,625,,
,9/20/2011,697,663,,
,9/21/2011,721,686,,
,9/22/2011,828,800,,
,9/23/2011,"1,262","1,152",,
,9/24/2011,"2,131","2,048",,
,9/25/2011,"1,284","1,315",,
,9/26/2011,636,589,,
,9/27/2011,779,732,,
,9/28/2011,663,647,,
,9/29/2011,813,776,,
,9/30/2011,"1,272","1,201",,
,10/1/2011,"2,147","2,009",,
,10/2/2011,"1,194","1,294",,
,10/3/2011,678,654,,
,10/4/2011,638,601,,
,10/5/2011,636,609,,
,10/6/2011,789,734,,
,10/7/2011,"1,239","1,134",,
,10/8/2011,"2,091","1,980",,
,10/9/2011,"1,423","1,470",,
,10/10/2011,849,814,,
,10/11/2011,670,635,,
,10/12/2011,650,634,,
,10/13/2011,667,641,,
,10/14/2011,"1,369","1,232",,
,10/15/2011,"2,077","2,045",,
,10/16/2011,"1,423","1,434",,
,10/17/2011,627,594,,
,10/18/2011,692,654,,
,10/19/2011,700,657,,
,10/20/2011,739,711,,
,10/21/2011,"1,346","1,210",,
,10/22/2011,"2,067","2,012",,
,10/23/2011,"1,315","1,355",,
,10/24/2011,751,737,,
,10/25/2011,713,691,,
,10/26/2011,741,706,,
,10/27/2011,804,768,,
,10/28/2011,"1,548","1,394",,
,10/29/2011,"2,062","1,987",,
,10/30/2011,"1,241","1,289",,
,10/31/2011,586,555,,
,11/1/2011,710,663,,
,11/2/2011,731,691,,
,11/3/2011,821,775,,
,11/4/2011,"1,428","1,289",,
,11/5/2011,"2,275","2,174",,
,11/6/2011,"1,464","1,502",,
,11/7/2011,650,633,,
,11/8/2011,733,688,,
,11/9/2011,650,631,,
,11/10/2011,911,864,,
,11/11/2011,"1,844","1,725",,
,11/12/2011,"2,278","2,124",,
,11/13/2011,"1,518","1,654",,
,11/14/2011,691,666,,
,11/15/2011,708,683,,
,11/16/2011,775,729,,
,11/17/2011,961,889,,
,11/18/2011,"1,730","1,553",,
,11/19/2011,"2,237","2,157",,
,11/20/2011,"1,906","1,965",,
,11/21/2011,841,786,,
,11/22/2011,"1,023","1,003",,
,11/23/2011,"1,068","1,036",,
,11/24/2011,265,254,,
,11/25/2011,"1,620","1,454",,
,11/26/2011,"1,896","1,793",,
,11/27/2011,"1,210","1,294",,
,11/28/2011,566,558,,
,11/29/2011,717,645,,
,11/30/2011,629,579,,
,12/1/2011,847,789,,
,12/2/2011,"1,516","1,349",,
,12/3/2011,"2,359","2,331",,
,12/4/2011,"1,464","1,481",,
,12/5/2011,719,685,,
,12/6/2011,737,737,,
,12/7/2011,736,677,,
,12/8/2011,914,909,,
,12/9/2011,"1,353","1,248",,
,12/10/2011,"2,332","2,249",,
,12/11/2011,"1,474","1,518",,
,12/12/2011,726,683,,
,12/13/2011,902,885,,
,12/14/2011,860,822,,
,12/15/2011,"1,010",966,,
,12/16/2011,"1,706","1,510",,
,12/17/2011,"2,425","2,374",,
,12/18/2011,"1,928","1,998",,
,12/19/2011,"1,098","1,090",,
,12/20/2011,"1,235","1,196",,
,12/21/2011,"1,323","1,291",,
,12/22/2011,"1,423","1,370",,
,12/23/2011,"1,854","1,771",,
,12/24/2011,"1,172","1,195",,
,12/25/2011,647,638,,
,12/26/2011,"1,771","1,721",,
,12/27/2011,"1,540","1,511",,
,12/28/2011,"1,608","1,535",,
,12/29/2011,"1,863","1,783",,
,12/30/2011,"1,909","1,806",,
,12/31/2011,"2,042","1,966",,
,1/1/2012,"1,174","1,263",,
,1/2/2012,"1,414","1,410",,
,1/3/2012,687,668,,
,1/4/2012,847,821,,
,1/5/2012,884,855,,
,1/6/2012,"1,409","1,315",,
,1/7/2012,"2,293","2,139",,
,1/8/2012,"1,389","1,521",,
,1/9/2012,619,592,,
,1/10/2012,683,662,,
,1/11/2012,738,707,,
,1/12/2012,828,814,,
,1/13/2012,"1,435","1,299",,
,1/14/2012,"1,984","1,901",,
,1/15/2012,"1,940","1,983",,
,1/16/2012,"1,258","1,241",,
,1/17/2012,733,703,,
,1/18/2012,726,723,,
,1/19/2012,971,955,,
,1/20/2012,"1,497","1,342",,
,1/21/2012,"2,347","2,239",,
,1/22/2012,"1,039","1,166",,
,1/23/2012,775,743,,
,1/24/2012,691,652,,
,1/25/2012,736,713,,
,1/26/2012,947,899,,
,1/27/2012,"1,376","1,284",,
,1/28/2012,"2,302","2,190",,
,1/29/2012,"1,368","1,483",,
,1/30/2012,689,669,,
,1/31/2012,708,680,,
,2/1/2012,713,663,,
,2/2/2012,776,754,,
,2/3/2012,"1,493","1,359",,
,2/4/2012,"2,350","2,277",,
,2/5/2012,922,"1,033",,
,2/6/2012,637,622,,
,2/7/2012,671,659,,
,2/8/2012,728,694,,
,2/9/2012,883,839,,
,2/10/2012,"1,411","1,339",,
,2/11/2012,"2,381","2,253",,
,2/12/2012,"1,544","1,617",,
,2/13/2012,922,886,,
,2/14/2012,"1,159","1,093",,
,2/15/2012,705,711,,
,2/16/2012,888,868,,
,2/17/2012,"1,474","1,361",,
,2/18/2012,"1,860","1,733",,
,2/19/2012,"1,941","2,028",,
,2/20/2012,"1,214","1,212",,
,2/21/2012,867,827,,
,2/22/2012,795,799,,
,2/23/2012,843,811,,
,2/24/2012,"1,650","1,527",,
,2/25/2012,"2,216","2,163",,
,2/26/2012,"1,376","1,434",,
,2/27/2012,711,695,,
,2/28/2012,794,784,,
,2/29/2012,811,776,,
,3/1/2012,834,777,,
,3/2/2012,"1,428","1,319",,
,3/3/2012,"2,220","2,137",,
,3/4/2012,"1,458","1,525",,
,3/5/2012,769,723,,
,3/6/2012,776,761,,
,3/7/2012,759,724,,
,3/8/2012,849,828,,
,3/9/2012,"1,629","1,461",,
,3/10/2012,"2,351","2,300",,
,3/11/2012,"1,911","1,971",,
,3/12/2012,817,795,,
,3/13/2012,957,925,,
,3/14/2012,"1,007",991,,
,3/15/2012,"1,171","1,111",,
,3/16/2012,"1,583","1,477",,
,3/17/2012,"2,086","2,053",,
,3/18/2012,"1,594","1,588",,
,3/19/2012,825,779,,
,3/20/2012,881,839,,
,3/21/2012,836,820,,
,3/22/2012,960,872,,
,3/23/2012,"1,746","1,639",,
,3/24/2012,"2,652","2,521",,
,3/25/2012,"1,879","1,994",,
,3/26/2012,953,915,,
,3/27/2012,"1,386","1,319",,
,3/28/2012,"1,074","1,052",,
,3/29/2012,"1,186","1,168",,
,3/30/2012,"1,657","1,518",,
,3/31/2012,"2,378","2,301",,
,4/1/2012,"1,709","1,792",,
,4/2/2012,855,822,,
,4/3/2012,"1,027",991,,
,4/4/2012,"1,159","1,112",,
,4/5/2012,"1,193","1,137",,
,4/6/2012,"1,700","1,614",,
,4/7/2012,"1,944","1,926",,
,4/8/2012,"1,207","1,225",,
,4/9/2012,841,808,,
,4/10/2012,990,968,,
,4/11/2012,940,916,,
,4/12/2012,"1,030",993,,
,4/13/2012,"1,658","1,518",,
,4/14/2012,"1,681","1,643",,
,4/15/2012,"1,451","1,494",,
,4/16/2012,693,684,,
,4/17/2012,742,708,,
,4/18/2012,782,751,,
,4/19/2012,834,814,,
,4/20/2012,"1,474","1,389",,
,4/21/2012,"1,813","1,771",,
,4/22/2012,"1,493","1,496",,
,4/23/2012,975,964,,
,4/24/2012,946,891,,
,4/25/2012,"1,035","1,015",,
,4/26/2012,"1,026",998,,
,4/27/2012,"1,514","1,397",,
,4/28/2012,"2,111","2,016",,
,4/29/2012,"1,661","1,727",,
,4/30/2012,916,905,,
,5/1/2012,950,885,,
,5/2/2012,"1,052","1,027",,
,5/3/2012,868,832,,
,5/4/2012,"1,420","1,308",,
,5/5/2012,"2,133","2,071",,
,5/6/2012,"1,297","1,306",,
,5/7/2012,640,683,,
,5/8/2012,816,790,,
,5/9/2012,795,773,,
,5/10/2012,831,782,,
,5/11/2012,"1,541","1,361",,
,5/12/2012,"2,066","2,078",,
,5/13/2012,"1,654","1,691",,
,5/14/2012,709,695,,
,5/15/2012,754,737,,
,5/16/2012,879,815,,
,5/17/2012,"1,075","1,082",,
,5/18/2012,"1,365","1,294",,
,5/19/2012,"1,873","1,787",,
,5/20/2012,"1,025","1,064",,
,5/21/2012,718,699,,
,5/22/2012,885,843,,
,5/23/2012,822,793,,
,5/24/2012,890,888,,
,5/25/2012,"1,342","1,262",,
,5/26/2012,"1,918","1,841",,
,5/27/2012,"1,446","1,405",,
,5/28/2012,"1,125","1,185",,
,5/29/2012,789,739,,
,5/30/2012,710,709,,
,5/31/2012,889,840,,
,6/1/2012,"1,453","1,345",,
,6/2/2012,"2,457","2,372",,
,6/3/2012,"1,396","1,496",,
,6/4/2012,835,794,,
,6/5/2012,790,750,,
,6/6/2012,860,842,,
,6/7/2012,964,862,,
,6/8/2012,"1,431","1,377",,
,6/9/2012,"1,792","1,766",,
,6/10/2012,"1,217","1,269",,
,6/11/2012,775,768,,
,6/12/2012,883,856,,
,6/13/2012,"1,032",969,,
,6/14/2012,"1,020",915,,
,6/15/2012,"1,306","1,299",,
,6/16/2012,"2,069","1,967",,
,6/17/2012,"1,275","1,327",,
,6/18/2012,881,852,,
,6/19/2012,845,817,,
,6/20/2012,967,931,,
,6/21/2012,"1,050","1,025",,
,6/22/2012,"1,505","1,419",,
,6/23/2012,"2,027","1,964",,
,6/24/2012,"1,131","1,141",,
,6/25/2012,780,764,,
,6/26/2012,822,797,,
,6/27/2012,802,771,,
,6/28/2012,890,840,,
,6/29/2012,"1,549","1,398",,
,6/30/2012,"1,993","1,934",,
,7/1/2012,"1,430","1,509",,
,7/2/2012,729,714,,
,7/3/2012,"1,034",981,,
,7/4/2012,794,793,,
,7/5/2012,"1,037",986,,
,7/6/2012,"1,491","1,325",,
,7/7/2012,"1,989","1,978",,
,7/8/2012,"1,749","1,765",,
,7/9/2012,863,848,,
,7/10/2012,907,861,,
,7/11/2012,"1,066","1,037",,
,7/12/2012,"1,052","1,006",,
,7/13/2012,"1,375","1,261",,
,7/14/2012,"2,014","1,940",,
,7/15/2012,"1,380","1,412",,
,7/16/2012,836,782,,
,7/17/2012,956,925,,
,7/18/2012,975,970,,
,7/19/2012,"1,153","1,091",,
,7/20/2012,"1,379","1,304",,
,7/21/2012,"2,045","1,920",,
,7/22/2012,"1,392","1,485",,
,7/23/2012,831,815,,
,7/24/2012,838,813,,
,7/25/2012,921,885,,
,7/26/2012,960,926,,
,7/27/2012,"1,358","1,245",,
,7/28/2012,"1,929","1,846",,
,7/29/2012,"1,454","1,492",,
,7/30/2012,785,761,,
,7/31/2012,824,770,,
,8/1/2012,890,853,,
,8/2/2012,964,943,,
,8/3/2012,"1,440","1,338",,
,8/4/2012,"1,845","1,780",,
,8/5/2012,"1,263","1,220",,
,8/6/2012,794,786,,
,8/7/2012,834,810,,
,8/8/2012,915,858,,
,8/9/2012,876,862,,
,8/10/2012,"1,487","1,369",,
,8/11/2012,"1,884","1,848",,
,8/12/2012,"1,265","1,272",,
,8/13/2012,925,910,,
,8/14/2012,937,921,,
,8/15/2012,967,936,,
,8/16/2012,"1,028",985,,
,8/17/2012,"1,378","1,301",,
,8/18/2012,"1,861","1,799",,
,8/19/2012,"1,328","1,310",,
,8/20/2012,865,854,,
,8/21/2012,924,893,,
,8/22/2012,843,833,,
,8/23/2012,908,881,,
,8/24/2012,"1,597","1,518",,
,8/25/2012,"1,979","1,928",,
,8/26/2012,"1,391","1,390",,
,8/27/2012,733,720,,
,8/28/2012,751,731,,
,8/29/2012,829,783,,
,8/30/2012,810,765,,
,8/31/2012,"1,242","1,181",,
,9/1/2012,"1,885","1,796",,
,9/2/2012,"1,672","1,662",,
,9/3/2012,"1,032","1,055",,
,9/4/2012,674,649,,
,9/5/2012,683,664,,
,9/6/2012,718,688,,
,9/7/2012,"1,235","1,123",,
,9/8/2012,"2,227","2,176",,
,9/9/2012,"1,040","1,083",,
,9/10/2012,675,671,,
,9/11/2012,659,640,,
,9/12/2012,707,657,,
,9/13/2012,815,757,,
,9/14/2012,"1,327","1,195",,
,9/15/2012,"1,826","1,781",,
,9/16/2012,"1,275","1,289",,
,9/17/2012,614,628,,
,9/18/2012,666,642,,
,9/19/2012,777,748,,
,9/20/2012,864,834,,
,9/21/2012,"1,306","1,176",,
,9/22/2012,"1,856","1,797",,
,9/23/2012,"1,170","1,181",,
,9/24/2012,653,628,,
,9/25/2012,722,681,,
,9/26/2012,803,764,,
,9/27/2012,747,735,,
,9/28/2012,"1,223","1,128",,
,9/29/2012,"2,058","1,981",,
,9/30/2012,"1,023","1,102",,
,10/1/2012,585,572,,
,10/2/2012,609,573,,
,10/3/2012,654,628,,
,10/4/2012,922,861,,
,10/5/2012,"1,259","1,155",,
,10/6/2012,"1,754","1,602",,
,10/7/2012,"1,212","1,306",,
,10/8/2012,844,829,,
,10/9/2012,857,850,,
,10/10/2012,712,695,,
,10/11/2012,644,607,,
,10/12/2012,"1,473","1,333",,
,10/13/2012,"2,002","1,920",,
,10/14/2012,"1,254","1,336",,
,10/15/2012,640,619,,
,10/16/2012,552,533,,
,10/17/2012,684,659,,
,10/18/2012,733,704,,
,10/19/2012,"1,341","1,216",,
,10/20/2012,"2,032","1,964",,
,10/21/2012,"1,321","1,366",,
,10/22/2012,591,579,,
,10/23/2012,737,717,,
,10/24/2012,584,565,,
,10/25/2012,675,643,,
,10/26/2012,"1,456","1,318",,
,10/27/2012,"1,657","1,627",,
,10/28/2012,"1,255","1,288",,
,10/29/2012,639,614,,
,10/30/2012,782,730,,
,10/31/2012,645,637,,
,11/1/2012,792,752,,
,11/2/2012,"1,373","1,253",,
,11/3/2012,"2,056","2,008",,
,11/4/2012,"1,367","1,409",,
,11/5/2012,616,586,,
,11/6/2012,563,549,,
,11/7/2012,797,779,,
,11/8/2012,803,771,,
,11/9/2012,"1,613","1,443",,
,11/10/2012,"2,186","2,108",,
,11/11/2012,"1,876","1,899",,
,11/12/2012,"1,057","1,072",,
,11/13/2012,751,732,,
,11/14/2012,716,667,,
,11/15/2012,"1,012",916,,
,11/16/2012,"1,667","1,507",,
,11/17/2012,"2,273","2,193",,
,11/18/2012,"1,720","1,788",,
,11/19/2012,917,869,,
,11/20/2012,"1,182","1,139",,
,11/21/2012,"1,312","1,269",,
,11/22/2012,340,348,,
,11/23/2012,"1,694","1,554",,
,11/24/2012,"1,957","1,887",,
,11/25/2012,"1,215","1,323",,
,11/26/2012,587,574,,
,11/27/2012,691,660,,
,11/28/2012,690,662,,
,11/29/2012,988,925,,
,11/30/2012,"1,718","1,529",,
,12/1/2012,"2,381","2,309",,
,12/2/2012,"1,335","1,434",,
,12/3/2012,709,684,,
,12/4/2012,747,734,,
,12/5/2012,786,751,,
,12/6/2012,827,785,,
,12/7/2012,"1,343","1,200",,
,12/8/2012,"2,307","2,205",,
,12/9/2012,"1,497","1,605",,
,12/10/2012,789,767,,
,12/11/2012,761,727,,
,12/12/2012,876,836,,
,12/13/2012,918,876,,
,12/14/2012,"1,646","1,478",,
,12/15/2012,"2,487","2,478",,
,12/16/2012,"1,945","2,000",,
,12/17/2012,955,916,,
,12/18/2012,"1,021",975,,
,12/19/2012,"1,163","1,125",,
,12/20/2012,"1,141","1,111",,
,12/21/2012,"1,609","1,535",,
,12/22/2012,"1,896","1,844",,
,12/23/2012,"1,618","1,605",,
,12/24/2012,"1,368","1,330",,
,12/25/2012,824,820,,
,12/26/2012,"1,521","1,478",,
,12/27/2012,"1,733","1,650",,
,12/28/2012,"1,915","1,814",,
,12/29/2012,"2,217","2,136",,
,12/30/2012,"2,010","2,024",,
,12/31/2012,"1,649","1,564",,
,1/1/2013,"1,025","1,070",,
,1/2/2013,"1,016","1,000",,
,1/3/2013,"1,120","1,104",,
,1/4/2013,"1,767","1,638",,
,1/5/2013,"2,198","2,153",,
,1/6/2013,"1,426","1,522",,
,1/7/2013,683,677,,
,1/8/2013,739,731,,
,1/9/2013,815,774,,
,1/10/2013,928,891,,
,1/11/2013,"1,455","1,359",,
,1/12/2013,"1,984","1,901",,
,1/13/2013,"1,462","1,569",,
,1/14/2013,614,583,,
,1/15/2013,699,684,,
,1/16/2013,825,803,,
,1/17/2013,871,845,,
,1/18/2013,"1,453","1,316",,
,1/19/2013,"2,291","2,219",,
,1/20/2013,"1,328","1,429",,
,1/21/2013,"1,243","1,227",,
,1/22/2013,580,570,,
,1/23/2013,846,804,,
,1/24/2013,803,773,,
,1/25/2013,"1,238","1,110",,
,1/26/2013,"2,112","2,116",,
,1/27/2013,"1,395","1,457",,
,1/28/2013,577,558,,
,1/29/2013,708,679,,
,1/30/2013,691,671,,
,1/31/2013,825,776,,
,2/1/2013,"1,468","1,368",,
,2/2/2013,"2,168","2,075",,
,2/3/2013,638,753,,
,2/4/2013,627,599,,
,2/5/2013,676,658,,
,2/6/2013,751,724,,
,2/7/2013,792,788,,
,2/8/2013,"1,598","1,496",,
,2/9/2013,"2,054","1,977",,
,2/10/2013,"1,364","1,445",,
,2/11/2013,709,662,,
,2/12/2013,694,676,,
,2/13/2013,917,878,,
,2/14/2013,"1,253","1,207",,
,2/15/2013,"1,553","1,415",,
,2/16/2013,"2,055","1,991",,
,2/17/2013,"1,911","2,006",,
,2/18/2013,"1,326","1,337",,
,2/19/2013,940,894,,
,2/20/2013,800,797,,
,2/21/2013,969,944,,
,2/22/2013,"1,601","1,478",,
,2/23/2013,"2,213","2,154",,
,2/24/2013,"1,187","1,277",,
,2/25/2013,633,623,,
,2/26/2013,770,754,,
,2/27/2013,824,787,,
,2/28/2013,898,866,,
,3/1/2013,"1,490","1,359",,
,3/2/2013,"2,085","2,033",,
,3/3/2013,"1,411","1,495",,
,3/4/2013,669,658,,
,3/5/2013,707,665,,
,3/6/2013,912,908,,
,3/7/2013,829,800,,
,3/8/2013,"1,486","1,402",,
,3/9/2013,"2,172","2,066",,
,3/10/2013,"1,246","1,321",,
,3/11/2013,774,752,,
,3/12/2013,771,748,,
,3/13/2013,745,705,,
,3/14/2013,844,818,,
,3/15/2013,"1,618","1,503",,
,3/16/2013,"2,166","2,118",,
,3/17/2013,"1,388","1,460",,
,3/18/2013,831,825,,
,3/19/2013,860,822,,
,3/20/2013,"1,084","1,076",,
,3/21/2013,"1,053","1,027",,
,3/22/2013,"1,544","1,412",,
,3/23/2013,"2,188","2,123",,
,3/24/2013,"1,594","1,680",,
,3/25/2013,997,955,,
,3/26/2013,"1,049","1,056",,
,3/27/2013,"1,126","1,097",,
,3/28/2013,"1,114","1,059",,
,3/29/2013,"1,666","1,597",,
,3/30/2013,"1,889","1,823",,
,3/31/2013,"1,290","1,350",,
,4/1/2013,928,899,,
,4/2/2013,903,854,,
,4/3/2013,910,881,,
,4/4/2013,961,933,,
,4/5/2013,"1,597","1,506",,
,4/6/2013,"2,279","2,209",,
,4/7/2013,"1,397","1,450",,
,4/8/2013,713,684,,
,4/9/2013,670,640,,
,4/10/2013,935,907,,
,4/11/2013,"1,159","1,122",,
,4/12/2013,"1,492","1,377",,
,4/13/2013,"1,816","1,789",,
,4/14/2013,"1,523","1,595",,
,4/15/2013,768,731,,
,4/16/2013,857,802,,
,4/17/2013,729,739,,
,4/18/2013,774,762,,
,4/19/2013,"1,348","1,264",,
,4/20/2013,"1,946","1,857",,
,4/21/2013,"1,408","1,473",,
,4/22/2013,694,672,,
,4/23/2013,676,648,,
,4/24/2013,754,720,,
,4/25/2013,898,861,,
,4/26/2013,"1,537","1,456",,
,4/27/2013,"2,329","2,233",,
,4/28/2013,"1,393","1,444",,
,4/29/2013,881,884,,
,4/30/2013,898,874,,
,5/1/2013,827,799,,
,5/2/2013,"1,061","1,014",,
,5/3/2013,"1,537","1,403",,
,5/4/2013,"2,383","2,374",,
,5/5/2013,"1,523","1,536",,
,5/6/2013,768,739,,
,5/7/2013,854,836,,
,5/8/2013,921,883,,
,5/9/2013,"1,236","1,138",,
,5/10/2013,"1,287","1,180",,
,5/11/2013,"1,998","1,915",,
,5/12/2013,"1,401","1,498",,
,5/13/2013,692,686,,
,5/14/2013,831,817,,
,5/15/2013,847,818,,
,5/16/2013,925,898,,
,5/17/2013,"1,544","1,392",,
,5/18/2013,"2,199","2,065",,
,5/19/2013,"1,005","1,148",,
,5/20/2013,721,698,,
,5/21/2013,767,752,,
,5/22/2013,758,723,,
,5/23/2013,924,875,,
,5/24/2013,"1,454","1,385",,
,5/25/2013,"2,021","1,927",,
,5/26/2013,"1,488","1,480",,
,5/27/2013,"1,395","1,426",,
,5/28/2013,952,906,,
,5/29/2013,970,933,,
,5/30/2013,"1,035","1,025",,
,5/31/2013,"1,185","1,114",,
