Garage entries-exits by garage,,,,,
Facility Name,Japan Center Garage,Off Street Parking ID,935,Parking Management District,Fillmore
Usage Type,Date,Total Entries,Total Exits,,
,11/9/2011,462,455,,
,11/10/2011,450,450,,
,11/11/2011,398,393,,
,11/12/2011,126,131,,
,11/13/2011,96,97,,
,11/14/2011,419,415,,
,11/15/2011,460,461,,
,11/16/2011,466,463,,
,11/17/2011,472,465,,
,11/18/2011,438,436,,
,11/19/2011,135,138,,
,11/20/2011,105,103,,
,11/21/2011,410,407,,
,11/22/2011,431,436,,
,11/23/2011,421,425,,
,11/24/2011,60,70,,
,11/25/2011,145,135,,
,11/26/2011,131,125,,
,11/27/2011,90,92,,
,11/28/2011,431,416,,
,11/29/2011,442,456,,
,11/30/2011,472,469,,
,12/1/2011,454,458,,
,12/2/2011,410,406,,
,12/3/2011,141,143,,
,12/4/2011,114,112,,
,12/5/2011,438,439,,
,12/6/2011,470,468,,
,12/7/2011,466,466,,
,12/8/2011,484,475,,
,12/9/2011,433,438,,
,12/10/2011,154,150,,
,12/11/2011,103,104,,
,12/12/2011,432,431,,
,12/13/2011,471,467,,
,12/14/2011,457,460,,
,12/15/2011,482,476,,
,12/16/2011,445,438,,
,12/17/2011,142,148,,
,12/18/2011,105,109,,
,12/19/2011,422,418,,
,12/20/2011,452,442,,
,12/21/2011,436,439,,
,12/22/2011,438,436,,
,12/23/2011,371,365,,
,12/24/2011,116,130,,
,12/25/2011,66,65,,
,12/26/2011,113,108,,
,12/27/2011,381,378,,
,12/28/2011,378,377,,
,12/29/2011,360,364,,
,12/30/2011,351,346,,
,12/31/2011,138,137,,
,1/1/2012,55,58,,
,1/2/2012,123,120,,
,1/3/2012,421,422,,
,1/4/2012,435,433,,
,1/5/2012,454,454,,
,1/6/2012,448,448,,
,1/7/2012,142,156,,
,1/8/2012,124,110,,
,1/9/2012,433,435,,
,1/10/2012,467,462,,
,1/11/2012,440,440,,
,1/12/2012,466,464,,
,1/13/2012,460,452,,
,1/14/2012,133,132,,
,1/15/2012,93,102,,
,1/16/2012,148,140,,
,1/17/2012,451,448,,
,1/18/2012,453,456,,
,1/19/2012,492,491,,
,1/20/2012,447,440,,
,1/21/2012,133,136,,
,1/22/2012,108,108,,
,1/23/2012,424,420,,
,1/24/2012,455,453,,
,1/25/2012,474,478,,
,1/26/2012,483,482,,
,1/27/2012,427,429,,
,1/28/2012,150,153,,
,1/29/2012,111,111,,
,1/30/2012,435,424,,
,1/31/2012,474,480,,
,2/1/2012,447,448,,
,2/2/2012,483,482,,
,2/3/2012,428,422,,
,2/4/2012,124,131,,
,2/5/2012,111,112,,
,2/6/2012,426,420,,
,2/7/2012,454,455,,
,2/8/2012,470,464,,
,2/9/2012,456,458,,
,2/10/2012,432,434,,
,2/11/2012,133,136,,
,2/12/2012,108,112,,
,2/13/2012,427,418,,
,2/14/2012,458,455,,
,2/15/2012,464,463,,
,2/16/2012,472,472,,
,2/17/2012,430,420,,
,2/18/2012,128,135,,
,2/19/2012,107,108,,
,2/20/2012,140,126,,
,2/21/2012,449,445,,
,2/22/2012,444,444,,
,2/23/2012,433,433,,
,2/24/2012,413,415,,
,2/25/2012,127,129,,
,2/26/2012,101,100,,
,2/27/2012,442,433,,
,2/28/2012,462,465,,
,2/29/2012,479,479,,
,3/1/2012,466,462,,
,3/2/2012,436,440,,
,3/3/2012,125,127,,
,3/4/2012,112,114,,
,3/5/2012,417,408,,
,3/6/2012,453,457,,
,3/7/2012,458,465,,
,3/8/2012,469,464,,
,3/9/2012,444,446,,
,3/10/2012,140,144,,
,3/11/2012,116,111,,
,3/12/2012,451,442,,
,3/13/2012,456,460,,
,3/14/2012,447,445,,
,3/15/2012,480,482,,
,3/16/2012,428,430,,
,3/17/2012,119,115,,
,3/18/2012,100,109,,
,3/19/2012,445,436,,
,3/20/2012,478,478,,
,3/21/2012,475,472,,
,3/22/2012,467,468,,
,3/23/2012,439,436,,
,3/24/2012,139,139,,
,3/25/2012,101,108,,
,3/26/2012,416,405,,
,3/27/2012,438,433,,
,3/28/2012,425,427,,
,3/29/2012,455,460,,
,3/30/2012,436,429,,
,3/31/2012,135,137,,
,4/1/2012,121,131,,
,4/2/2012,412,405,,
,4/3/2012,445,448,,
,4/4/2012,441,437,,
,4/5/2012,443,442,,
,4/6/2012,415,416,,
,4/7/2012,131,129,,
,4/8/2012,104,103,,
